size	fuzzy	n_mismatch	signature	unit	symbol
592	99.324	1	SOURCE_INSDEL	default/band3/meta_band/StoreMainPanel	?FinishLoad@StoreMainPanel@@UAAXXZ
772	99.477	2	SOURCE_INSDEL	default/BandRetargetVignette	?EnterDir@BandRetargetVignette@@QBAXXZ
672	99.369	2	SOURCE_INSDEL	default/JoypadController	??0JoypadController@@QAA@PAVUser@@PBVDataArray@@PAVBeatMatchControllerSink@@_N3@Z
5036	99.762	3	SOURCE_INSDEL	default/CustomizePanel	?Handle@CustomizePanel@@UAA?AVDataNode@@PAVDataArray@@_N@Z
692	98.728	3	SOURCE_INSDEL	default/FocusTracker	?GetNextFocusPlayer@StreakFocusTracker@@UBA?AUTrackerPlayerID@@ABU2@MAA_N@Z
1248	99.599	4	SOURCE_INSDEL	default/band3/game/PerfectOverdriveTracker	?Poll_@PerfectOverdriveTracker@@UAAXM@Z
584	98.418	4	SOURCE_INSDEL	default/PropKeys	?SetFrame@Vector3Keys@@UAAXMM@Z
512	97.617	4	SOURCE_INSDEL	default/VocalTrack	?Poll@VocalTrack@@UAAXM@Z
1096	98.869	5	SOURCE_INSDEL	default/system/rndobj/Utl	?SpliceKeys@@YAXPAVRndTransAnim@@0MM@Z
916	98.406	5	SOURCE_CALLCOUNT	default/BandUser	?Handle@LocalBandUser@@UAA?AVDataNode@@PAVDataArray@@_N@Z
776	97.113	6	SOURCE_INSDEL	default/band3/game/TambourineManager	?TambourineSucceed@TambourineManager@@QAAXH@Z
576	97.118	6	SOURCE_INSDEL	default/band3/meta_band/PatchPanel	?SyncProperty@PatchPanel@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
504	98.198	6	SOURCE_INSDEL	default/FocusTracker	?GetNextFocusPlayer@FocusTracker@@UBA?AUTrackerPlayerID@@ABU2@MAA_N@Z
972	98.292	7	SOURCE_INSDEL	default/band3/meta_band/CharProvider	?Reload@CharProvider@@QAAXPAVLocalBandUser@@@Z
924	97.896	7	SOURCE_INSDEL	default/Text	?ParseMarkup@RndText@@QBAPBDPBDPAVStyle@1@MM@Z
792	99.308	7	SOURCE_INSDEL	default/Game	??1Game@@UAA@XZ
2156	99.193	8	SOURCE_INSDEL	default/BandCharacter	?OnSetFileMerger@BandCharacter@@QAA?AVDataNode@@PAVDataArray@@@Z
1280	98.672	8	SOURCE_INSDEL	default/StarDisplay	?SyncProperty@StarDisplay@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
568	97.099	8	SOURCE_INSDEL	default/SongSortMgr	?DoesSongMatchFilter@SongSortMgr@@QBA_NHPBVSongFilter@1@VSymbol@@@Z
1772	99.063	9	SOURCE_INSDEL	default/CameraShot	?Interp@CamShotFrame@@QAAXABV1@MMPAVRndCam@@@Z
2416	99.743	12	SOURCE_INSDEL	default/BandWardrobe	?SyncProperty@BandWardrobe@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
716	98.520	12	SOURCE_CALLCOUNT	default/Spotlight	?Copy@Spotlight@@UAAXPBVObject@Hmx@@W4CopyType@23@@Z
976	99.053	13	SOURCE_INSDEL	default/Line	?SetNumPoints@RndLine@@QAAXH@Z
1372	97.580	14	SOURCE_INSDEL	default/CharDriver	?Poll@CharDriver@@UAAXXZ
888	98.581	19	SOURCE_INSDEL	default/band3/game/TrainerGemTab	?DrawTails@TrainerGemTab@@QAAXABVGameGem@@HHMM@Z
512	97.609	20	SOURCE_INSDEL	default/Geo	?Clip@@YAXABVPolygon@Hmx@@ABVRay@2@AAV12@@Z
708	97.090	21	SOURCE_INSDEL	default/band3/game/TrainerPanel	?StartSection@TrainerPanel@@QAAXH@Z
1432	97.830	22	SOURCE_INSDEL	default/GemTrack	?DrawTrackElements@GemTrack@@QAAXHH@Z
3816	99.594	26	SOURCE_INSDEL	default/BandDirector	?OnFileLoaded@BandDirector@@QAA?AVDataNode@@PAVDataArray@@@Z
