fuzzy	mpn	size	unit	symbol
99.987	99.99	300	default/Flare	?Load@RndFlare@@UAAXAAVBinStream@@@Z
99.983	99.98	236	default/MeshAnim	?LoadShaders@RndShaderMgr@@MAAXPBD@Z
99.977	99.98	352	default/system/dsp/SndAnalysis	?RefinePeriod2@@YAMPBM00HH@Z
99.964	99.96	112	default/system/hamobj/MiniLeaderboardDisplay	?Save@MiniLeaderboardDisplay@@UAAXAAVBinStream@@@Z
99.964	99.96	224	default/band3/meta_band/BandStorePanel	?Enter@BandStorePanel@@UAAXXZ
99.961	99.96	412	default/Part	?UpdateRelativeXfm@RndParticleSys@@IAAXXZ
99.958	99.96	384	default/Mesh	?GetDistanceToPlane@RndMesh@@UAAMABVPlane@@AAVVector3@@@Z
99.957	99.96	460	default/Env_NG	?EstimateDraw@@YAMH@Z
99.955	99.95	440	default/SampleData	?Load@SampleData@@QAAXAAVBinStream@@ABVFilePath@@@Z
99.941	99.94	136	default/PlayerDiffIcon	?Save@PlayerDiffIcon@@UAAXAAVBinStream@@@Z
99.930	100.00	284	default/band3/meta_band/AppMiniLeaderboardDisplay	??1AppMiniLeaderboardDisplay@@UAA@XZ
99.926	99.93	108	default/ByteGrinder	?op59@@YA?AVDataNode@@PAVDataArray@@@Z
99.926	99.93	216	default/ScrollbarDisplay	?PreLoad@ScrollbarDisplay@@UAAXAAVBinStream@@@Z
99.924	99.92	476	default/Mat_NG	?SetBasicState@NgMat@@IAAXXZ
99.916	100.00	476	default/BandMachineMgr	?Dispatch@SyncMachineMsg@?A0x84a9b3fb@@UAAXXZ
99.915	99.92	284	default/Geo	?Intersect@@YA_NABVPlane@@ABVBox@@@Z
99.913	100.00	460	default/BandList	?ConcealAnimPoll@BandList@@QAAXHAAVTransform@@@Z
99.912	99.91	320	default/network/Platform/BandwidthCounter	??ABandwidthCounterMap@Quazal@@QAAPAVIOBandwidthCounter@01@I@Z
99.912	100.00	228	default/MoviePanel	?SyncProperty@MoviePanel@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
99.910	99.91	268	default/PracticeSection	?Handle@PracticeSection@@UAA?AVDataNode@@PAVDataArray@@_N@Z
99.910	100.00	444	default/SIVideo	?Load@SIVideo@@QAAXAAVBinStream@@_N@Z
99.910	100.00	444	default/FileMergerOrganizer	?Init@FileMergerOrganizer@@SAXXZ
99.909	100.00	220	default/Matchmaker	?CancelFindImpl@BandMatchmaker@@UAAXXZ
99.909	100.00	440	default/Gen	?SetFrame@RndGenerator@@UAAXMM@Z
99.909	100.00	440	default/VocalNoteList	?DeterminePhraseTimes@VocalNoteList@@QAAXABVTempoMap@@@Z
99.906	100.00	424	default/DataFunc	?Quasiquote@@YA?AVDataNode@@ABV1@@Z
99.904	100.00	208	default/Mat_NG	?MakeTex3@@YAXABVTransform@@_NAAVMatrix4@Hmx@@@Z
99.903	100.00	412	default/PostProc_NG	?Bloom_Blur@@YAXPAVRndTex@@0W4BloomBlurStyle@@W4BloomBlurDirection@@IMM@Z
99.902	100.00	204	default/CharBonesMeshes	??$PropSync@VRndTransformable@@@@YA_NAAV?$ObjOwnerPtr@VRndTransformable@@@@AAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
99.902	100.00	204	default/band3/meta_band/NetSync	??0StartTransitionMsg@@QAA@XZ
99.900	100.00	400	default/system/rndobj/Rnd	?SetupFont@Rnd@@IAAXXZ
99.898	99.90	236	default/Geo	?OnSide@BSPFace@@QAAXABVPlane@@AA_N1@Z
99.894	100.00	188	default/Task	?OnTimeTilNext@TaskMgr@@AAA?AVDataNode@@PAVDataArray@@@Z
99.890	100.00	364	default/Performer	?AddPoints@Performer@@UAAXM_N0@Z
99.878	99.88	328	default/Text	?Save@RndText@@UAAXAAVBinStream@@@Z
99.868	100.00	304	default/band3/game/Player	?PollEnabledState@Player@@QAAXM@Z
99.865	100.00	296	default/Gen	??1RndGenerator@@UAA@XZ
99.865	100.00	296	default/band3/meta_band/AccomplishmentManager	?IsAvailable@AccomplishmentManager@@QBA_NVSymbol@@_N@Z
99.863	100.00	292	default/UIListState	?SetSelectedSimulateScroll@UIListState@@QAAXH@Z
99.857	100.00	280	default/StreakMeter	?SetPitch@StreakMeter@@QAAXM@Z
99.852	99.85	244	default/DataFlex	yy_get_previous_state
99.852	99.85	108	default/MeterDisplay	??_DMeterDisplay@@QAAXXZ
99.848	100.00	264	default/Mesh	?CollidePlane@RndMesh@@QAAHABVFace@1@ABVPlane@@@Z
99.848	99.85	316	default/CharBlendBone	?SetType@CharBlendBone@@UAAXVSymbol@@@Z
99.848	99.85	316	default/PracticeSection	?SetType@PracticeSection@@UAAXVSymbol@@@Z
99.841	100.00	252	default/band3/bandtrack/GemRepTemplate	?SetupTailVerts@GemRepTemplate@@QAAXXZ
99.841	100.00	252	default/WaitingUserGate	?Dispatch@EnterFlowMsg@@UAAXXZ
99.836	100.00	244	default/ctr	?ctr_encrypt_fast@@YAHPBEPAEKPAUSymmetric_CTR@@@Z
99.836	100.00	244	default/system/obj/Utl	?PathCompare@@YA_NPAVDataArray@@0@Z
99.833	100.00	120	default/DataFile	?DataReadString@@YAPAVDataArray@@PBD@Z
99.831	100.00	356	default/network/net/NetSession	?OnRegisterSessionJobComplete@NetSession@@QAAX_N@Z
99.831	100.00	236	default/EventTrigger	??1EventTrigger@@UAA@XZ
99.830	99.93	400	default/Geo	?GeoInit@@YAXXZ
99.828	100.00	232	default/TrackWatcherImpl	?MaybeAutoplayFutureCymbal@TrackWatcherImpl@@QAAXH@Z
99.828	100.00	232	default/GemManager	?UpdateSlotPositions@GemManager@@QAAXXZ
99.825	100.00	228	default/VocalTrack	?GetHarmonyScore@VocalTrack@@QAAMH@Z
99.821	100.00	224	default/Overlay	?Init@RndOverlay@@SAXXZ
99.821	100.00	224	default/OverdriveMeter	?SetEnergy@OverdriveMeter@@QAAXMW4State@1@VSymbol@@M_N@Z
99.818	100.00	220	default/Interp	?Reset@LinearInterpolator@@UAAXPBVDataArray@@@Z
99.818	100.00	220	default/Interp	?Reset@ATanInterpolator@@QAAXMMMMM@Z
99.818	99.95	308	default/UIList	?GetDistanceToPlane@UIList@@UAAMABVPlane@@AAVVector3@@@Z
99.817	100.00	436	default/band3/game/PerfectOverdriveTracker	?GetPlayerContributionString@PerfectOverdriveTracker@@UBA?AVString@@VSymbol@@@Z
99.804	100.00	204	default/CharLipSyncDriver	?ScaleAddViseme@CharLipSyncDriver@@QAAXPAVCharClip@@M@Z
99.800	100.00	100	default/Sequence	??1?$ObjRefConcrete@VLightHue@@VObjectDir@@@@UAA@XZ
99.800	100.00	100	default/BandUI	?IsTimelineResetAllowed@BandUI@@UBA_NXZ
99.800	100.00	200	default/MusicLibrary	?GetSongFilterAsString@MusicLibraryTask@MusicLibrary@@QAAXAAVString@@@Z
99.800	100.00	200	default/network/net/NetSession	?SetState@NetSession@@QAAXW4SessionState@1@@Z
99.792	100.00	192	default/StoreOffer	?HasSong@StoreOffer@@QBA_NPBV1@@Z
99.789	100.00	380	default/Bitmap	?Create@RndBitmap@@QAAXPAX@Z
99.773	100.00	176	default/TrackWidget	?RemoveAt@TrackWidget@@QAAXMH@Z
99.750	100.00	160	default/Synapse_dsp	?SetAttackSmoothing@Synapse@1DSP@@QAAXM@Z
99.750	100.00	160	default/Synapse_dsp	?SetReleaseSmoothing@Synapse@1DSP@@QAAXM@Z
99.744	100.00	156	default/band3/bandtrack/Gem	?UpdateTailPositions@Gem@@QAAXXZ
99.744	100.00	156	default/RGGemMatcher	?FretHistoryMatch@RGGemMatcher@@QBA_NHHMMW4RGMatchType@@@Z
99.744	100.00	156	default/GemManager	?PollVisibleGems@GemManager@@QAAXMM@Z
99.744	100.00	312	default/Rot	?FastInterp@@YAXABVQuat@Hmx@@0MAAV12@@Z
99.735	99.74	136	default/FlowIf	??1FlowIf@@UAA@XZ
99.733	100.00	300	default/PostProc_NG	?CheckPosterizeAndKaleidoscope@NgPostProc@@IAAXXZ
99.714	99.86	140	default/HamMove	??$fill@U?$_Bit_iter@U_Bit_reference@stlpmtx_std@@PAU12@@stlpmtx_std@@_N@stlpmtx_std@@YAXU?$_Bit_iter@U_Bit_reference@stlpmtx_std@@PAU12@@0@0AB_N@Z
99.709	100.00	412	default/CharBone	?Handle@CharBone@@UAA?AVDataNode@@PAVDataArray@@_N@Z
99.706	100.00	136	default/Rot	?Normalize@@YAXABVQuat@Hmx@@AAV12@@Z
99.706	100.00	272	default/GemTrackDir	?DeleteUnusedChordMeshes@GemTrackDir@@UAAXXZ
99.701	100.00	268	default/Character	?PreLoad@Character@@UAAXAAVBinStream@@@Z
99.697	100.00	132	default/TourProgress	?UpdateMostStars@TourProgress@@QAAXXZ
99.688	100.00	128	default/CharDriver	?SetBeatScale@CharDriver@@QAAXM_N@Z
99.688	100.00	128	default/BaseGuitarTrackWatcherImpl	?CheckForHopoTimeout@BaseGuitarTrackWatcherImpl@@QAAXM@Z
99.684	100.00	380	default/SongSortNode	?FinishSort@HeaderSortNode@@UAAXPAVNodeSort@@@Z
99.677	100.00	124	default/TrackWatcherImpl	?SustainedGemToKill@TrackWatcherImpl@@UAAHH@Z
99.652	100.00	460	default/SpotlightDrawer_NG	?SetupForPostProcess@NgSpotlightDrawer@@IAAXXZ
99.639	99.95	388	default/XLSPConnection	?Poll@XLSPConnection@@QAAXXZ
99.636	100.00	220	default/system/beatmatch/GameGemList	??$__partial_sort@PAVGameGem@@V1@U?$less@VGameGem@@@stlpmtx_std@@@stlpmtx_std@@YAXPAVGameGem@@000U?$less@VGameGem@@@0@@Z
99.630	100.00	216	default/CharServoBone	?MoveToDeltaFacing@CharServoBone@@QAAXAAVTransform@@@Z
99.623	100.00	212	default/band3/game/CommonPhraseCapturer	?LocalHitLastGem@CommonPhraseCapturer@@QAAXPAVPlayer@@HH@Z
99.607	100.00	356	default/band3/meta_band/EditSetlistPanel	?DoneEditing@EditSetlistPanel@@QAAXXZ
