stratum	fuzzy	mpn	size	n_mismatch	signature	opc_jaccard	LSobj_imm	LSr1_imm	unit	symbol
>=99	99.993	100.000	12220	2	CODEGEN_REGALLOC	1.0	0	0	default/NextSongPanel	?CountOrCreateExpandedDetails@NextSongPanel@@QAAHHAAVDataArrayPtr@@_N@Z
>=99	99.993	99.993	584	1	SOURCE_ARGVAL	1.0	0	0	default/MetaMusic	?Start@MetaMusic@@QAAXXZ
>=99	99.990	99.990	792	2	SOURCE_ARGVAL	1.0	2	0	default/CharLipSyncDriver	?Poll@CharLipSyncDriver@@UAAXXZ
>=99	99.987	99.987	316	1	SOURCE_ARGVAL	1.0	0	0	default/band3/meta_band/BandProfile	??$LoadStdPtr@VTourCharLocal@@V?$StlNodeAlloc@PAVTourCharLocal@@@stlpmtx_std@@@FixedSizeSaveable@@SAXAAVFixedSizeSaveableStream@@AAV?$vector@PAVTourCharLocal@@V?$StlNodeAlloc@PAVTourCharLocal@@@stlpmtx_std@@@stlpmtx_std@@HH@Z
>=99	99.985	100.000	1356	1	SOURCE_ARGVAL	1.0	0	0	default/OvershellPanel	?ResolvePartWaitStates@OvershellPanel@@QAAXXZ
>=99	99.984	100.000	2432	1	CODEGEN_REGALLOC	1.0	0	0	default/DataFile	?ParseNode@@YA_NXZ
>=99	99.977	99.977	352	2	SOURCE_ARGVAL	1.0	2	0	default/Font	?SetKerning@KerningTable@@QAAXABV?$vector@VKernInfo@RndFont@@V?$StlNodeAlloc@VKernInfo@RndFont@@@stlpmtx_std@@@stlpmtx_std@@PAVRndFont@@@Z
>=99	99.977	99.977	352	2	SOURCE_ARGVAL	1.0	2	0	default/system/dsp/SndAnalysis	?RefinePeriod2@@YAMPBM00HH@Z
>=99	99.974	100.000	6160	8	CODEGEN_REGALLOC	1.0	0	0	default/MusicLibrary	?Handle@MusicLibrary@@UAA?AVDataNode@@PAVDataArray@@_N@Z
>=99	99.972	99.972	720	1	CLEAN?	0.989	0	0	default/Part	?UpdateParticles@RndParticleSys@@IAAXXZ
>=99	99.969	100.000	2596	2	CODEGEN_REGALLOC	1.0	0	0	default/TourProgress	?Handle@TourProgress@@UAA?AVDataNode@@PAVDataArray@@_N@Z
>=99	99.966	100.000	1176	1	CODEGEN_REGALLOC	1.0	0	0	default/MicInputArrow	?Update@MicInputArrow@@UAAXXZ
>=99	99.966	99.966	116	1	SOURCE_ARGVAL	1.0	0	0	default/DepthBuffer3D	?push_back@?$vector@UPropertyFilter@CameraManager@@V?$StlNodeAlloc@UPropertyFilter@CameraManager@@@stlpmtx_std@@@stlpmtx_std@@QAAXABUPropertyFilter@CameraManager@@@Z
>=99	99.966	99.966	116	1	SOURCE_ARGVAL	1.0	0	0	default/HamNavProvider	?push_back@?$vector@UNavItem@HamNavProvider@@V?$StlNodeAlloc@UNavItem@HamNavProvider@@@stlpmtx_std@@@stlpmtx_std@@QAAXABUNavItem@HamNavProvider@@@Z
>=99	99.966	99.966	116	1	SOURCE_ARGVAL	1.0	0	0	default/PracticeSection	?push_back@?$vector@VPracticeStep@@V?$StlNodeAlloc@VPracticeStep@@@stlpmtx_std@@@stlpmtx_std@@QAAXABVPracticeStep@@@Z
>=99	99.966	99.966	116	1	SOURCE_ARGVAL	1.0	0	0	default/RhythmBattle	?push_back@?$vector@VArchiveSkeleton@@V?$StlNodeAlloc@VArchiveSkeleton@@@stlpmtx_std@@@stlpmtx_std@@QAAXABVArchiveSkeleton@@@Z
>=99	99.966	99.966	116	1	SOURCE_ARGVAL	1.0	0	0	default/HolmesClient	?push_back@?$vector@URecurseInfo@@V?$StlNodeAlloc@URecurseInfo@@@stlpmtx_std@@@stlpmtx_std@@QAAXABURecurseInfo@@@Z
>=99	99.964	99.964	112	1	SOURCE_ARGVAL	1.0	0	0	default/Character	?_M_fill_insert@?$vector@ULod@Character@@V?$StlNodeAlloc@ULod@Character@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAULod@Character@@IABU34@@Z
>=99	99.964	99.964	112	1	SOURCE_ARGVAL	1.0	0	0	default/HamMove	?_M_fill_insert@?$vector@UOldNodeWeight@@V?$StlNodeAlloc@UOldNodeWeight@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAUOldNodeWeight@@IABU3@@Z
>=99	99.964	99.964	112	1	SOURCE_ARGVAL	1.0	0	0	default/SongLayout	?_M_fill_insert@?$vector@VSongPattern@@V?$StlNodeAlloc@VSongPattern@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVSongPattern@@IABV3@@Z
>=99	99.964	99.964	112	1	SOURCE_ARGVAL	1.0	0	0	default/SongLayout	?_M_fill_insert@?$vector@VSongSection@@V?$StlNodeAlloc@VSongSection@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVSongSection@@IABV3@@Z
