class	swap_pair	retail_addr	size	sites	row_bytes	retail_S	ours_F	why
MAP_DEFECT_evidenced		0x82553f28	12	9	3336	?PrefabIsCustomizable@PrefabMgr@@SA_NXZ	?GetPrefabMgr@PrefabMgr@@SAPAV1@XZ	~10 callers all character/prefab contexts fetching the singleton; GetPrefabMgr() fits every one, PrefabIsCustomizable() fits none.
MAP_DEFECT_evidenced		0x82b93f58	8	3	1012	?Ignore@GemTrack@@QAAXH@Z	?SetFretButtonPressed@GemTrack@@QAAXH_N@Z	All 3 callers are GemPlayer OnRefreshTrackButtons/FretButtonDown/FretButtonUp; SetFretButtonPressed(int,bool) fits, map name Ignore(int) has the WRONG ARITY for a 2-arg call site.
MAP_DEFECT_evidenced		0x8227a828	164	1	112	??0HamSong@@QAA@XZ	??0BandSong@@QAA@XZ	ONLY caller is ?NewObject@BandSong@@SAPAVObject@Hmx@@XZ; the Milo factory idiom means this address IS BandSong::BandSong. Map carries DC3 class name HamSong AND BandSong::NewObject -- self-inconsistent.
REFUTED_different_string_literal		0x826050a8	88	1	836	?Type@MetadataLoadedMsg@@SA?AVSymbol@@XZ	?Type@MultipleItemsEnumCompleteMsg@@SA?AVSymbol@@XZ	retail interns 'metadata_loaded' where we intern 'multiple_items_enum_complete' -- each body interns its OWN literal, so they cannot be one COMDAT
REFUTED_different_string_literal		0x8236a428	88	1	316	?StaticClassName@CharIKHead@@SA?AVSymbol@@XZ	?StaticClassName@FlowTrigger@@SA?AVSymbol@@XZ	retail interns 'CharIKHead' where we intern 'FlowTrigger' -- each body interns its OWN literal, so they cannot be one COMDAT
REFUTED_different_string_literal		0x8256ffc8	88	1	316	?StaticClassName@PassiveMessagesPanel@@SA?AVSymbol@@XZ	?StaticClassName@TransConstraint@@SA?AVSymbol@@XZ	retail interns 'PassiveMessagesPanel' where we intern 'TransConstraint' -- each body interns its OWN literal, so they cannot be one COMDAT
REFUTED_different_string_literal		0x8240e2c0	88	1	316	?StaticClassName@RndGenerator@@SA?AVSymbol@@XZ	?StaticClassName@RndSpline@@SA?AVSymbol@@XZ	retail interns 'Generator' where we intern 'Spline' -- each body interns its OWN literal, so they cannot be one COMDAT
REFUTED_different_string_literal		0x8229ce38	88	1	252	?StaticClassName@RndMat@@SA?AVSymbol@@XZ	?StaticClassName@DanceRemixer@@SA?AVSymbol@@XZ	retail interns 'Mat' where we intern 'DanceRemixer' -- each body interns its OWN literal, so they cannot be one COMDAT
REFUTED_different_string_literal		0x8227a3a8	88	1	252	?StaticClassName@BandSongPref@@SA?AVSymbol@@XZ	?StaticClassName@CrazeHollaback@@SA?AVSymbol@@XZ	retail interns 'BandSongPref' where we intern 'CrazeHollaback' -- each body interns its OWN literal, so they cannot be one COMDAT
REFUTED_different_string_literal		0x823e0b28	88	1	136	?Type@AddUserResultMsg@@SA?AVSymbol@@XZ	?Type@SpeechEnableMsg@@SA?AVSymbol@@XZ	retail interns 'add_user_result' where we intern 'speech_enable' -- each body interns its OWN literal, so they cannot be one COMDAT
