solo_closable_B	solo_rows	sites	class	retail_masked_dupes	retail_S	ours_F	why
8212	6	9	REFUTED_recursive_relocation	1	??A?$map@VCRC@Hmx@@MU?$less@VCRC@Hmx@@@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@$$CBVCRC@Hmx@@M@stlpmtx_std@@@4@@stlpmtx_std@@QAAAAMABVCRC@Hmx@@@Z	??A?$map@HMU?$less@H@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@$$CBHM@stlpmtx_std@@@2@@stlpmtx_std@@QAAAAMABH@Z	1 relocation slot(s) resolve to different retail bodies
1988	7	16	FOLD_PROVEN_installed	1	??4?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	??4?$vector@MV?$StlNodeAlloc@M@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	installed on >=2 independent channels
1692	1	1	REFUTED_recursive_relocation	1	?UpdateTarget@Target@BandCamShot@@QAAXVSymbol@@PAV2@@Z	?UpdateTarget@Target@HamCamShot@@QAAXVSymbol@@PAV2@@Z	1 relocation slot(s) resolve to different retail bodies
1320	3	3	REFUTED_residency	12	?_M_fill_insert@?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVVector3@@IABV3@@Z	?_M_fill_insert@?$vector@USpotlightDrawerEntry@LightPreset@@V?$StlNodeAlloc@USpotlightDrawerEntry@LightPreset@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAUSpotlightDrawerEntry@LightPreset@@IABU34@@Z	retail keeps addr(F)=0x82381088 != addr(S)=0x824b2478; two addresses is the definition of not folded; keeps the wrong-callee reading
892	1	1	REFUTED_residency	8	?SetAutoplayError@BeatMatcher@@QAAXH@Z	?Restart@BeatMatcher@@QAAXXZ	retail keeps addr(F)=0x82790748 != addr(S)=0x82790568; two addresses is the definition of not folded; keeps the wrong-callee reading
588	1	1	REFUTED_shape_not_unique	5	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@HHU?$hash@H@stlpmtx_std@@U?$equal_to@H@2@V?$StlNodeAlloc@U?$pair@$$CBHH@stlpmtx_std@@@2@@stlpmtx_std@@QAA@XZ	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
536	2	2	REFUTED_shape_not_unique	5	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@HPAVUIComponent@@U?$hash@H@stlpmtx_std@@U?$equal_to@H@3@V?$StlNodeAlloc@U?$pair@$$CBHPAVUIComponent@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
344	1	2	REFUTED_residency	5	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@QAA@XZ	retail keeps addr(F)=0x825af9e8 != addr(S)=0x8255d480; two addresses is the definition of not folded; keeps the wrong-callee reading
320	1	1	REFUTED_recursive_relocation	7	?_M_fill_insert@?$vector@V?$Key@M@@V?$StlNodeAlloc@V?$Key@M@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAV?$Key@M@@IABV3@@Z	?_M_fill_insert@?$vector@VSeam@MeshAO@OutfitConfig@@V?$StlNodeAlloc@VSeam@MeshAO@OutfitConfig@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVSeam@MeshAO@OutfitConfig@@IABV345@@Z	1 relocation slot(s) resolve to different retail bodies
308	1	1	REFUTED_residency	48	?insert@?$list@UWeightContext@CharBone@@V?$StlNodeAlloc@UWeightContext@CharBone@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@UWeightContext@CharBone@@U?$_Nonconst_traits@UWeightContext@CharBone@@@stlpmtx_std@@@2@U32@ABUWeightContext@CharBone@@@Z	?insert@?$list@UBreakpoint@RndConsole@@V?$StlNodeAlloc@UBreakpoint@RndConsole@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@UBreakpoint@RndConsole@@U?$_Nonconst_traits@UBreakpoint@RndConsole@@@stlpmtx_std@@@2@U32@ABUBreakpoint@RndConsole@@@Z	retail keeps addr(F)=0x8246b9a0 != addr(S)=0x823d6fa8; two addresses is the definition of not folded; keeps the wrong-callee reading
284	2	2	REFUTED_recursive_relocation	5	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@MU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@M@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	1 relocation slot(s) resolve to different retail bodies
272	2	3	UNDECIDED	1	?SetSize@VertArray@RndMeshDeform@@IAAXH@Z	?SetSize@DeltaArray@BandFaceDeform@@QAAXH@Z	2 slot(s) unresolvable on this channel
244	1	1	FOLD_PROVEN_installed	1	??4?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	??4?$vector@PAVTail@@V?$StlNodeAlloc@PAVTail@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	installed on >=2 independent channels
244	1	1	REFUTED_residency	2	??4?$vector@V?$Key@V?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@stlpmtx_std@@@@V?$StlNodeAlloc@V?$Key@V?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@stlpmtx_std@@@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	??4?$vector@V?$Key@V?$vector@VColor@Hmx@@V?$StlNodeAlloc@VColor@Hmx@@@stlpmtx_std@@@stlpmtx_std@@@@V?$StlNodeAlloc@V?$Key@V?$vector@VColor@Hmx@@V?$StlNodeAlloc@VColor@Hmx@@@stlpmtx_std@@@stlpmtx_std@@@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	retail keeps addr(F)=0x822c7e08 != addr(S)=0x8246f9f0; two addresses is the definition of not folded; keeps the wrong-callee reading
228	1	1	REFUTED_shape_not_unique	5	?resize@?$vector@V?$map@HMU?$less@H@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@$$CBHM@stlpmtx_std@@@2@@stlpmtx_std@@V?$StlNodeAlloc@V?$map@HMU?$less@H@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@$$CBHM@stlpmtx_std@@@2@@stlpmtx_std@@@2@@stlpmtx_std@@QAAXIABV?$map@HMU?$less@H@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@$$CBHM@stlpmtx_std@@@2@@2@@Z	?resize@?$vector@V?$set@VSymbol@@U?$less@VSymbol@@@stlpmtx_std@@V?$StlNodeAlloc@VSymbol@@@3@@stlpmtx_std@@V?$StlNodeAlloc@V?$set@VSymbol@@U?$less@VSymbol@@@stlpmtx_std@@V?$StlNodeAlloc@VSymbol@@@3@@stlpmtx_std@@@2@@stlpmtx_std@@QAAXIABV?$set@VSymbol@@U?$less@VSymbol@@@stlpmtx_std@@V?$StlNodeAlloc@VSymbol@@@3@@2@@Z	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
216	1	1	REFUTED_recursive_relocation	7	?_M_fill_insert@?$vector@V?$Key@M@@V?$StlNodeAlloc@V?$Key@M@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAV?$Key@M@@IABV3@@Z	?_M_fill_insert@?$vector@V?$Key@VSymbol@@@@V?$StlNodeAlloc@V?$Key@VSymbol@@@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAV?$Key@VSymbol@@@@IABV3@@Z	1 relocation slot(s) resolve to different retail bodies
216	1	1	REFUTED_recursive_relocation	7	?_M_fill_insert@?$vector@V?$Key@M@@V?$StlNodeAlloc@V?$Key@M@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAV?$Key@M@@IABV3@@Z	?_M_fill_insert@?$vector@V?$Key@_N@@V?$StlNodeAlloc@V?$Key@_N@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAV?$Key@_N@@IABV3@@Z	1 relocation slot(s) resolve to different retail bodies
204	1	1	REFUTED_residency	12	?_M_fill_insert@?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVVector3@@IABV3@@Z	?_M_fill_insert@?$vector@V?$Key@UWeight@@@@V?$StlNodeAlloc@V?$Key@UWeight@@@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAV?$Key@UWeight@@@@IABV3@@Z	retail keeps addr(F)=0x82398798 != addr(S)=0x824b2478; two addresses is the definition of not folded; keeps the wrong-callee reading
192	2	2	REFUTED_recursive_relocation	7	?_M_fill_insert@?$vector@V?$Key@M@@V?$StlNodeAlloc@V?$Key@M@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAV?$Key@M@@IABV3@@Z	?_M_fill_insert@?$vector@VStreakInfo@Stats@@V?$StlNodeAlloc@VStreakInfo@Stats@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVStreakInfo@Stats@@IABV34@@Z	1 relocation slot(s) resolve to different retail bodies
180	1	1	REFUTED_shape_not_unique	5	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@HPAVColorPalette@@U?$hash@H@stlpmtx_std@@U?$equal_to@H@3@V?$StlNodeAlloc@U?$pair@$$CBHPAVColorPalette@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
164	1	1	REFUTED_recursive_relocation	1	?push_back@?$vector@UHamListRibbonDrawState@@V?$StlNodeAlloc@UHamListRibbonDrawState@@@stlpmtx_std@@@stlpmtx_std@@QAAXABUHamListRibbonDrawState@@@Z	?push_back@?$vector@V?$RangedData@VRGRollChord@@@?$RangedDataCollection@VRGRollChord@@@@V?$StlNodeAlloc@V?$RangedData@VRGRollChord@@@?$RangedDataCollection@VRGRollChord@@@@@stlpmtx_std@@@stlpmtx_std@@QAAXABV?$RangedData@VRGRollChord@@@?$RangedDataCollection@VRGRollChord@@@@@Z	1 relocation slot(s) resolve to different retail bodies
164	1	1	REFUTED_shape_not_unique	5	??0?$hash_map@VSymbol@@V?$vector@PAVPatchSticker@@V?$StlNodeAlloc@PAVPatchSticker@@@stlpmtx_std@@@stlpmtx_std@@USymbolHash@PatchDir@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@V?$vector@PAVPatchSticker@@V?$StlNodeAlloc@PAVPatchSticker@@@stlpmtx_std@@@stlpmtx_std@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@V?$vector@VSymbol@@V?$StlNodeAlloc@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@U?$hash@VSymbol@@@3@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@V?$vector@VSymbol@@V?$StlNodeAlloc@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
160	1	1	REFUTED_recursive_relocation	12	?_M_fill_insert@?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVVector3@@IABV3@@Z	?_M_fill_insert@?$vector@VUserGuid@@V?$StlNodeAlloc@VUserGuid@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVUserGuid@@IABV3@@Z	1 relocation slot(s) resolve to different retail bodies
156	1	1	REFUTED_residency	13	??4?$ObjList@UTarget@HamCamShot@@@@QAAXABV0@@Z	??4?$ObjList@UTarget@BandCamShot@@@@QAAXABV0@@Z	retail keeps addr(F)=0x824d1280 != addr(S)=0x822b7ac8; two addresses is the definition of not folded; keeps the wrong-callee reading
156	1	1	REFUTED_shape_not_unique	5	??0?$hash_map@VSymbol@@V?$vector@PAVPatchSticker@@V?$StlNodeAlloc@PAVPatchSticker@@@stlpmtx_std@@@stlpmtx_std@@USymbolHash@PatchDir@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@V?$vector@PAVPatchSticker@@V?$StlNodeAlloc@PAVPatchSticker@@@stlpmtx_std@@@stlpmtx_std@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@V?$vector@PAVLightPreset@@V?$StlNodeAlloc@PAVLightPreset@@@stlpmtx_std@@@stlpmtx_std@@USymbolHash@LightPresetManager@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@V?$vector@PAVLightPreset@@V?$StlNodeAlloc@PAVLightPreset@@@stlpmtx_std@@@stlpmtx_std@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
148	1	1	UNDECIDED	1	??$_M_range_insert@PBV?$Key@M@@@?$vector@V?$Key@M@@V?$StlNodeAlloc@V?$Key@M@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAV?$Key@M@@PBV2@1ABUforward_iterator_tag@1@@Z	??$_M_range_insert@PBV?$Key@_N@@@?$vector@V?$Key@_N@@V?$StlNodeAlloc@V?$Key@_N@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAV?$Key@_N@@PBV2@1ABUforward_iterator_tag@1@@Z	1 slot(s) unresolvable on this channel
148	1	1	UNDECIDED	1	??$_M_range_insert@PBV?$Key@M@@@?$vector@V?$Key@M@@V?$StlNodeAlloc@V?$Key@M@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAV?$Key@M@@PBV2@1ABUforward_iterator_tag@1@@Z	??$_M_range_insert@PBV?$Key@VSymbol@@@@@?$vector@V?$Key@VSymbol@@@@V?$StlNodeAlloc@V?$Key@VSymbol@@@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAV?$Key@VSymbol@@@@PBV2@1ABUforward_iterator_tag@1@@Z	1 slot(s) unresolvable on this channel
132	1	1	REFUTED_shape_not_unique	5	??$__final_insertion_sort@PAVSpotlightEntry@SpotlightDrawer@@VByColor@@@stlpmtx_std@@YAXPAVSpotlightEntry@SpotlightDrawer@@0VByColor@@@Z	??$__final_insertion_sort@PAVCategory@CameraManager@@U?$less@VCategory@CameraManager@@@stlpmtx_std@@@stlpmtx_std@@YAXPAVCategory@CameraManager@@0U?$less@VCategory@CameraManager@@@0@@Z	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
128	1	1	REFUTED_residency	6	?GetBestStreak@SongStatusMgr@@QBAHHW4ScoreType@@W4Difficulty@@@Z	?GetBestStars@SongStatusMgr@@QBAHHW4ScoreType@@W4Difficulty@@@Z	retail keeps addr(F)=0x825d1930 != addr(S)=0x825d1bd8; two addresses is the definition of not folded; keeps the wrong-callee reading
128	1	1	REFUTED_residency	6	?GetBestAwesomes@SongStatusMgr@@QBAHHW4ScoreType@@W4Difficulty@@@Z	?GetBestStreak@SongStatusMgr@@QBAHHW4ScoreType@@W4Difficulty@@@Z	retail keeps addr(F)=0x825d1bd8 != addr(S)=0x825d1d98; two addresses is the definition of not folded; keeps the wrong-callee reading
124	1	1	REFUTED_shape_not_unique	9	?_M_insert@?$hashtable@U?$pair@$$CBHPAVSongStatus@@@stlpmtx_std@@HU?$hash@H@2@U?$_HashMapTraitsT@U?$pair@$$CBHPAVSongStatus@@@stlpmtx_std@@@priv@2@U?$_Select1st@U?$pair@$$CBHPAVSongStatus@@@stlpmtx_std@@@2@U?$equal_to@H@2@V?$StlNodeAlloc@U?$pair@$$CBHPAVSongStatus@@@stlpmtx_std@@@2@@stlpmtx_std@@QAAAAU?$pair@$$CBHPAVSongStatus@@@2@ABU32@@Z	?_M_insert@?$hashtable@U?$pair@$$CBHVSymbol@@@stlpmtx_std@@HU?$hash@H@2@U?$_HashMapTraitsT@U?$pair@$$CBHVSymbol@@@stlpmtx_std@@@priv@2@U?$_Select1st@U?$pair@$$CBHVSymbol@@@stlpmtx_std@@@2@U?$equal_to@H@2@V?$StlNodeAlloc@U?$pair@$$CBHVSymbol@@@stlpmtx_std@@@2@@stlpmtx_std@@QAAAAU?$pair@$$CBHVSymbol@@@2@ABU32@@Z	retail holds 9 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
120	1	1	REFUTED_shape_not_unique	9	?_M_insert@?$hashtable@U?$pair@$$CBHPAVSongStatus@@@stlpmtx_std@@HU?$hash@H@2@U?$_HashMapTraitsT@U?$pair@$$CBHPAVSongStatus@@@stlpmtx_std@@@priv@2@U?$_Select1st@U?$pair@$$CBHPAVSongStatus@@@stlpmtx_std@@@2@U?$equal_to@H@2@V?$StlNodeAlloc@U?$pair@$$CBHPAVSongStatus@@@stlpmtx_std@@@2@@stlpmtx_std@@QAAAAU?$pair@$$CBHPAVSongStatus@@@2@ABU32@@Z	?_M_insert@?$hashtable@U?$pair@$$CBHPAVSongUpgradeData@@@stlpmtx_std@@HU?$hash@H@2@U?$_HashMapTraitsT@U?$pair@$$CBHPAVSongUpgradeData@@@stlpmtx_std@@@priv@2@U?$_Select1st@U?$pair@$$CBHPAVSongUpgradeData@@@stlpmtx_std@@@2@U?$equal_to@H@2@V?$StlNodeAlloc@U?$pair@$$CBHPAVSongUpgradeData@@@stlpmtx_std@@@2@@stlpmtx_std@@QAAAAU?$pair@$$CBHPAVSongUpgradeData@@@2@ABU32@@Z	retail holds 9 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
112	1	1	FOLD_PROVEN_installed	1	??4?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	??4?$vector@PAVUIScreen@@V?$StlNodeAlloc@PAVUIScreen@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	installed on >=2 independent channels
112	1	1	REFUTED_recursive_relocation	2	?_M_insert_overflow_aux@?$vector@V?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@stlpmtx_std@@V?$StlNodeAlloc@V?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@stlpmtx_std@@@2@@stlpmtx_std@@IAAXPAV?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@2@ABV32@ABU__true_type@2@I_N@Z	?_M_insert_overflow_aux@?$vector@V?$vector@VRangeSection@@V?$StlNodeAlloc@VRangeSection@@@stlpmtx_std@@@stlpmtx_std@@V?$StlNodeAlloc@V?$vector@VRangeSection@@V?$StlNodeAlloc@VRangeSection@@@stlpmtx_std@@@stlpmtx_std@@@2@@stlpmtx_std@@IAAXPAV?$vector@VRangeSection@@V?$StlNodeAlloc@VRangeSection@@@stlpmtx_std@@@2@ABV32@ABU__true_type@2@I_N@Z	2 relocation slot(s) resolve to different retail bodies
