unit_sub100_rows	kind	file	line	declaration
20	OUT	src/system/ui/UILabel.cpp	155	void UILabel::Terminate() {}
18	OUT	src/system/char/Character.cpp	697	void Character::Terminate() {}
16	OUT	src/system/rnddx9/Mesh.cpp	173	void DxMesh::OnSync(int) {}
16	INL	src/system/rndobj/Mesh.h	177	virtual void DrawFacesInRange(int, int) {}
14	OUT	src/band3/net_band/RockCentral.cpp	302	void RockCentral::UpdateOnlineStatus() {}
14	OUT	src/band3/net_band/RockCentral.cpp	1534	void RockCentral::DeleteNextUser() {}
14	OUT	src/system/meta/StorePanel.cpp	230	void StorePanel::ExitStore(StoreError) const {}
14	OUT	src/system/meta/StorePanel.cpp	652	void StorePanel::StoreUserProfileSwappedToUser(LocalUser *) {}
14	INL	src/system/meta/StorePanel.h	80	virtual void GetOfferIDsToEnumerate(std::vector<u64> &, bool) const {}
14	INL	src/system/rndobj/Rnd.h	113	virtual void ReInit() {}
14	INL	src/system/rndobj/Rnd.h	122	virtual void ForceColorClear() {}
14	INL	src/system/rndobj/Rnd.h	146	virtual void MakeDrawTarget() {}
14	INL	src/system/rndobj/Rnd.h	150	RND_DC3_VIRTUAL void BeginDrawPass() {}
14	INL	src/system/rndobj/Rnd.h	151	RND_DC3_VIRTUAL void EndDrawPass() {}
14	INL	src/system/rndobj/Rnd.h	155	virtual void ReleaseOwnership() {}
14	INL	src/system/rndobj/Rnd.h	156	virtual void AcquireOwnership() {}
14	INL	src/system/rndobj/Rnd.h	157	virtual void SetShadowMap(RndTex *, RndCam *, const Hmx::Color *) {}
14	INL	src/system/rndobj/Rnd.h	159	virtual void CaptureNextGpuFrame() {}
14	INL	src/system/rndobj/Rnd.h	252	RND_DC3_VIRTUAL void PushClipPlanesInternal(ObjPtrVec<RndTransformable> &) {}
14	INL	src/system/rndobj/Rnd.h	253	RND_DC3_VIRTUAL void PopClipPlanesInternal(ObjPtrVec<RndTransformable> &) {}
14	INL	src/system/rndobj/Rnd.h	259	virtual void ModalDraw(Debug::ModalType, const char *) {}
13	INL	src/system/rndobj/EventTrigger.h	110	virtual void CheckAnims() {}
12	OUT	src/system/rnddx9/ShaderMgr.cpp	260	void DxShaderMgr::SetVConstant(VShaderConstant, const float *, unsigned int) {}
12	INL	src/system/synth/Synth.h	48	virtual void PreInit() {}
12	INL	src/system/synth/Synth.h	57	virtual void SetFXMode(int, FXMode) {}
12	INL	src/system/synth/Synth.h	59	virtual void SetFXVolume(int, float) {}
12	INL	src/system/synth/Synth.h	61	virtual void SetFXDelay(int, float) {}
12	INL	src/system/synth/Synth.h	63	virtual void SetFXFeedback(int, float) {}
12	INL	src/system/synth/Synth.h	65	virtual void SetFXChain(bool) {}
12	INL	src/system/synth/Synth.h	67	virtual void SetChatVoiceGain(int, float) {}
12	INL	src/system/synth/Synth.h	70	virtual void SetMicFX(bool) {}
12	INL	src/system/synth/Synth.h	72	virtual void SetMicVolume(float) {}
12	INL	src/system/synth/Synth.h	74	virtual void SuspendMics() {}
12	INL	src/system/synth/Synth.h	75	virtual void ResumeMics() {}
12	INL	src/system/synth/Synth.h	79	virtual void CaptureMic(int) {}
12	INL	src/system/synth/Synth.h	80	virtual void ReleaseMic(int) {}
12	INL	src/system/synth/Synth.h	81	virtual void ReleaseAllMics() {}
12	INL	src/system/synth/Synth.h	84	virtual void ResetMicsChanged() {}
12	INL	src/system/synth/Synth.h	94	virtual void EnableLevels(bool) {}
12	INL	src/system/synth/Synth.h	95	virtual void RequirePushToTalk(bool, int) {}
12	INL	src/system/synth/Synth.h	96	virtual void SetIncomingVoiceChatVolume(float) {}
12	INL	src/system/world/CameraShot.h	167	virtual void SetPreFrame(float, float) {}
12	INL	src/system/world/CameraShot.h	203	virtual void ApplyDynamicOffsetPreLookAt(Transform &, bool) {}
12	INL	src/system/world/CameraShot.h	204	virtual void ApplyDynamicOffsetPostLookAt(Transform &) {}
12	INL	src/system/world/CameraShot.h	205	virtual void ApplyFinalCamTransform(Transform &) {}
10	INL	src/system/rndobj/PropKeys.h	147	virtual void CloneKey(int idx) {}
10	INL	src/system/rndobj/PropKeys.h	160	virtual void SetToCurrentVal(int idx) {}
9	INL	src/system/char/FileMerger.h	115	virtual void PostLoad(BinStream &) {}
9	OUT	src/system/gesture/DepthBuffer3D.cpp	188	void DepthBuffer3D::Save(BinStream &) {}
9	OUT	src/system/gesture/DepthBuffer3D.cpp	189	void DepthBuffer3D::Copy(const Hmx::Object *, Hmx::Object::CopyType) {}
9	OUT	src/system/gesture/DepthBuffer3D.cpp	190	void DepthBuffer3D::Load(BinStream &) {}
9	INL	src/system/obj/DirLoader.h	96	void DoneLoading() {}
9	INL	src/system/ui/UIList.h	51	virtual void AdjustTrans(Transform &, const UIListElementDrawState &) {}
9	INL	src/system/ui/UIList.h	52	virtual void AdjustTransSelected(Transform &) {}
8	INL	src/band3/game/VocalPlayer.h	135	virtual void PollTrack() {}
8	INL	src/band3/game/VocalPlayer.h	136	virtual void PollAudio() {}
8	INL	src/band3/game/VocalPlayer.h	138	virtual void SetRealtime(bool) {}
8	INL	src/band3/game/VocalPlayer.h	145	virtual void EnableFills(float, bool) {}
8	INL	src/band3/game/VocalPlayer.h	146	virtual void DisableFills() {}
8	OUT	src/system/bandobj/OutfitConfig.cpp	933	void OutfitConfig::PostSave(BinStream &) {}
8	OUT	src/system/char/CharClip.cpp	1004	void CharClip::ApplyBlendedSkeletons(CharClip **, CharBones &, float, float) {}
8	INL	src/system/char/CharClip.h	149	virtual void PostSave(BinStream &) {}
8	OUT	src/system/char/Waypoint.cpp	207	void Waypoint::Highlight() {}
8	INL	src/system/rndobj/Anim.h	59	virtual void StartAnim() {}
8	INL	src/system/rndobj/Anim.h	61	virtual void EndAnim() {}
8	INL	src/system/rndobj/Anim.h	71	virtual void SetKey(float frame) {}
8	INL	src/system/rndobj/Anim.h	73	virtual void ListAnimChildren(std::list<RndAnimatable *> &) const {}
8	OUT	src/system/world/SpotlightDrawer_NG.cpp	116	void NgSpotlightDrawer::SetupFogDensityMap() {}
8	OUT	src/system/world/SpotlightDrawer_NG.cpp	117	void NgSpotlightDrawer::RenderFogProxy() {}
8	OUT	src/system/world/SpotlightDrawer_NG.cpp	118	void NgSpotlightDrawer::RenderSphere(Spotlight *) {}
8	OUT	src/system/world/SpotlightDrawer_NG.cpp	119	void NgSpotlightDrawer::RenderSheet(Spotlight *) {}
8	OUT	src/system/world/SpotlightDrawer_NG.cpp	121	void NgSpotlightDrawer::SetupXSection(Spotlight *, const Spotlight::BeamDef &) {}
8	OUT	src/system/world/SpotlightDrawer_NG.cpp	122	void NgSpotlightDrawer::RenderConeDefs(Spotlight *, const Hmx::Color &) {}
8	OUT	src/system/world/SpotlightDrawer_NG.cpp	123	void NgSpotlightDrawer::RenderCone(Spotlight *) {}
8	OUT	src/system/world/SpotlightDrawer_NG.cpp	124	void NgSpotlightDrawer::RenderBeams(const Hmx::Matrix4 &) {}
8	OUT	src/system/world/SpotlightDrawer_NG.cpp	126	void NgSpotlightDrawer::BlurRT(float, float) {}
8	OUT	src/system/world/SpotlightDrawer_NG.cpp	127	void NgSpotlightDrawer::SetupForPostProcess() {}
8	OUT	src/system/world/SpotlightDrawer_NG.cpp	128	void NgSpotlightDrawer::RenderScene() {}
8	INL	src/system/world/SpotlightDrawer_NG.h	67	virtual void DrawBeams(SpotlightEntry *, SpotlightEntry *const &) {}
7	INL	src/band3/game/Game.h	126	virtual void Beat(int, int) {}
7	INL	src/band3/game/Game.h	127	virtual void UpdateSongPos(const SongPos &) {}
7	INL	src/band3/game/Game.h	128	virtual void HandleSubmix(int, const char *) {}
7	INL	src/band3/meta_band/BandStorePanel.h	48	virtual void StoreUserProfileSwappedToUser(LocalUser *) {}
7	OUT	src/band3/meta_band/MetaPerformer.cpp	1680	void MetaPerformer::UploadDebugStats() {}
7	OUT	src/band3/meta_band/MetaPerformer.cpp	1692	void MetaPerformer::SetWiiPending(WiiPendingFlags) {}
7	OUT	src/band3/meta_band/MetaPerformer.cpp	1693	void MetaPerformer::ClearWiiPending(WiiPendingFlags) {}
7	INL	src/band3/meta_band/MetaPerformer.h	62	virtual void CompleteSong(std::vector<BandUser *> &, const BandStatsInfo *, bool) {}
7	INL	src/band3/meta_band/MetaPerformer.h	65	virtual void RestartLastSong() {}
7	INL	src/band3/meta_band/MetaPerformer.h	67	virtual void OnSynchronized(unsigned int) {}
7	INL	src/band3/meta_band/MetaPerformer.h	68	virtual void SyncSave(BinStream &, unsigned int) const {}
7	INL	src/band3/meta_band/MetaPerformer.h	69	virtual void SyncLoad(BinStream &, unsigned int) {}
7	OUT	src/band3/meta_band/MusicLibrary.cpp	176	void MusicLibrary::OnLoad() {}
7	OUT	src/band3/meta_band/MusicLibrary.cpp	633	void MusicLibrary::ContentMounted(const char *, const char *) {}
7	INL	src/meta_ham/MetaPerformer.h	50	virtual void OnLoadSong() {}
7	OUT	src/system/obj/Dir.cpp	598	void ObjectDir::AddedObject(Hmx::Object *) {}
7	INL	src/system/synth/StandardStream.h	44	virtual void Fill() {}
7	INL	src/system/synth/StandardStream.h	60	virtual void SetFX(int, bool) {}
7	INL	src/system/synth/StandardStream.h	62	virtual void SetFXCore(int, FXCore) {}
7	INL	src/system/synth/StandardStream.h	85	virtual void SetStereoPair(int, int) {}
6	OUT	src/band3/bandtrack/GemManager.cpp	856	void TrackDir::ClearChordMeshRefCounts() {}
6	OUT	src/band3/bandtrack/GemManager.cpp	858	void TrackDir::DeleteUnusedChordMeshes() {}
6	OUT	src/band3/bandtrack/GemManager.cpp	859	void TrackDir::SyncFingerFeedback() {}
6	OUT	src/band3/bandtrack/GemManager.cpp	1245	void GemManager::Ignore(int) {}
6	OUT	src/system/obj/DataFile.cpp	690	void DataLoader::DoneLoading() {}
6	OUT	src/system/rndobj/Bitmap.cpp	45	void RndBitmap::SetName(const Hmx::CRC &crc) {}
6	OUT	src/system/synth/MetaMusic.cpp	11	void MetaMusicLoader::DoneLoading() {}
6	INL	src/system/world/SpotlightDrawer.h	106	virtual void ClearPostProc() {}
5	OUT	src/band3/game/GemPlayer.cpp	1364	void GemPlayer::PollAudio() {}
5	OUT	src/band3/game/GemPlayer.cpp	1390	void GemPlayer::SetRealtime(bool) {}
5	OUT	src/band3/game/GemPlayer.cpp	1864	void GemPlayer::OnRemoteFill(bool) {}
5	INL	src/band3/game/GemPlayer.h	328	virtual void SetTrack(const UserGuid &, int) {}
5	INL	src/band3/game/GemPlayer.h	336	virtual void SetCurrentPhrase(int, const PhraseInfo &) {}
5	INL	src/band3/game/GemPlayer.h	337	virtual void NoCurrentPhrase(int) {}
5	INL	src/band3/game/GemPlayer.h	352	virtual void SwingHook(int, int, float, bool, bool) {}
