cluster_id	unit	shared_type	rows	bytes	regclean_rows	bands	sym	billed	fuzzy	n_charged	nreg	src
0	default/VocalTrack	VocalTrack	10	16200	0	16+,4-6,7-15	?UpdateScrolling@VocalTrack@@QAAXM@Z	8948	72.253	1383	732	src/band3/bandtrack/VocalTrack.cpp
0	default/VocalTrack	VocalTrack	10	16200	0	16+,4-6,7-15	?RebuildHUD@VocalTrack@@QAAXXZ	2188	90.450	141	118	src/band3/bandtrack/VocalTrack.cpp
0	default/VocalTrack	VocalTrack	10	16200	0	16+,4-6,7-15	?PrepareNoteTubes@VocalTrack@@QAAXMHAAHH@Z	1160	73.386	189	138	src/band3/bandtrack/VocalTrack.cpp
0	default/VocalTrack	VocalTrack	10	16200	0	16+,4-6,7-15	?UpdatePitchArrow@VocalTrack@@QAAXMH@Z	928	98.254	29	29	src/band3/bandtrack/VocalTrack.cpp
0	default/VocalTrack	VocalTrack	10	16200	0	16+,4-6,7-15	?UpdateTubePlates@VocalTrack@@QAAXAAV?$deque@PAVTubePlate@@V?$StlNodeAlloc@PAVTubePlate@@@stlpmtx_std@@@stlpmtx_std@@MM_N@Z	772	90.668	64	44	src/band3/bandtrack/VocalTrack.cpp
0	default/VocalTrack	VocalTrack	10	16200	0	16+,4-6,7-15	?PollLyricAnimations@VocalTrack@@QAAXAAV?$deque@PAVLyricPlate@@V?$StlNodeAlloc@PAVLyricPlate@@@stlpmtx_std@@@stlpmtx_std@@M_N@Z	744	84.263	88	61	src/band3/bandtrack/VocalTrack.cpp
0	default/VocalTrack	VocalTrack	10	16200	0	16+,4-6,7-15	?GetNextLyricPlate@VocalTrack@@QAAPAVLyricPlate@@AAV?$deque@PAVLyricPlate@@V?$StlNodeAlloc@PAVLyricPlate@@@stlpmtx_std@@@stlpmtx_std@@_N@Z	516	54.558	89	39	src/band3/bandtrack/VocalTrack.cpp
0	default/VocalTrack	VocalTrack	10	16200	0	16+,4-6,7-15	?Poll@VocalTrack@@UAAXM@Z	512	97.617	4	1	src/band3/bandtrack/VocalTrack.cpp
0	default/VocalTrack	VocalTrack	10	16200	0	16+,4-6,7-15	?ProcessStaticLyrics@VocalTrack@@QAAX_NPAVLyric@@AAM2AAPAV2@320PAVLyricPlate@@@Z	312	97.692	15	16	src/band3/bandtrack/VocalTrack.cpp
0	default/VocalTrack	VocalTrack	10	16200	0	16+,4-6,7-15	?OnPhraseComplete@VocalTrack@@QAAXMMH@Z	120	65.867	16	4	src/band3/bandtrack/VocalTrack.cpp
