unit	sym	billed	fuzzy	mpn	cls	n_charged	same_opcode_multiset	argkinds	src
default/VocalTrack	?UpdateScrolling@VocalTrack@@QAAXM@Z	8948	72.25346	73.98793	SOURCE_INSDEL	1383	False	{'register': 732, 'relocname': 19, 'immediate': 324, 'branchdest': 25, 'opcode': 57}	src/band3/bandtrack/VocalTrack.cpp
default/DataFunc	?DataInitFuncs@@YAXXZ	8068	70.52653	72.234505	SOURCE_INSDEL	1111	False	{'register': 502, 'immediate': 132, 'relocname': 256, 'opcode': 148}	src/system/obj/DataFunc.cpp
default/network/Plugins/Checksum/MD5/MD5	?transform@MD5@Quazal@@QAAXPBE@Z	6068	82.185234	89.48253	SOURCE_INSDEL	1409	False	{'register': 2214, 'opcode': 69, 'immediate': 15}	src/network/Plugins/Checksum/MD5/MD5.cpp
default/SHA1	?Transform@CSHA1@@AAAXPAIPBE@Z	5856	55.691257	61.985657	SOURCE_INSDEL	1511	False	{'relocname': 2, 'register': 1771, 'immediate': 200, 'opcode': 47}	src/system/math/SHA1.cpp
default/CharacterCreatorPanel	?Handle@CharacterCreatorPanel@@UAA?AVDataNode@@PAVDataArray@@_N@Z	5164	98.243996	99.053444	SOURCE_INSDEL	224	False	{'register': 206, 'relocname': 51, 'opcode': 7, 'immediate': 2, 'branchdest': 2}	src/band3/meta_band/CharacterCreatorPanel.cpp
default/CustomizePanel	?Handle@CustomizePanel@@UAA?AVDataNode@@PAVDataArray@@_N@Z	5036	99.92057	99.92057	SOURCE_INSDEL	1	False	{}	src/band3/meta_band/CustomizePanel.cpp
default/VocalPlayer	?Handle@VocalPlayer@@UAA?AVDataNode@@PAVDataArray@@_N@Z	4936	97.97326	98.880875	SOURCE_INSDEL	247	False	{'immediate': 16, 'register': 222, 'relocname': 46, 'opcode': 1}	src/band3/game/VocalPlayer.cpp
default/json_tokener	json_tokener_parse_ex	4872	93.200325	93.569786	SOURCE_INSDEL	169	False	{'register': 65, 'opcode': 12, 'branchdest': 24, 'immediate': 7}	src/system/net/json-c/json_tokener.c
default/Spotlight	?SyncProperty@Spotlight@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	4728	99.39171	99.82741	SOURCE_INSDEL	103	False	{'register': 103, 'immediate': 4}	src/system/world/Spotlight.cpp
default/band3/meta_band/SaveLoadManager	?SetState@SaveLoadManager@@IAAXW4State@1@@Z	4096	96.740234	97.296875	SOURCE_INSDEL	140	False	{'register': 105, 'relocname': 13, 'immediate': 26, 'opcode': 4, 'branchdest': 2}	src/band3/meta_band/SaveLoadManager.cpp
default/BandDirector	?OnFileLoaded@BandDirector@@QAA?AVDataNode@@PAVDataArray@@@Z	3816	99.589096	99.59958	SOURCE_INSDEL	27	False	{'opcode': 1, 'relocname': 1, 'immediate': 22, 'register': 1}	src/system/bandobj/BandDirector.cpp
default/VocalTrackDir	?PostLoad@VocalTrackDir@@UAAXAAVBinStream@@@Z	3656	96.397156	96.47374	SOURCE_INSDEL	55	False	{'register': 10, 'branchdest': 1, 'immediate': 11, 'opcode': 5}	src/system/bandobj/VocalTrackDir.cpp
