solo_closable_B	solo_rows	sites	strength	retail_S	ours_F	units	victim_rows
8212	6	9	F_ungraded	??A?$map@VCRC@Hmx@@MU?$less@VCRC@Hmx@@@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@$$CBVCRC@Hmx@@M@stlpmtx_std@@@4@@stlpmtx_std@@QAAAAMABVCRC@Hmx@@@Z	??A?$map@HMU?$less@H@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@$$CBHM@stlpmtx_std@@@2@@stlpmtx_std@@QAAAAMABH@Z	default/BandList;default/SongData;default/VocalTrackDir	??$?5HM@@YAAAVBinStream@@AAV0@AAV?$map@HMU?$less@H@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@$$CBHM@stlpmtx_std@@@2@@stlpmtx_std@@@Z;?AddRangeShift@SongData@@UAAXHM@Z;?StartConcealAnim@BandList@@QAAXHAAVTransform@@@Z;?StartPulseAnim@BandList@@QAAXH@Z
6060	20	38	F_ungraded	?Terminate@Movie@@SAXXZ	?MsToTick@@YAMM@Z	default/FocusTracker;default/GemManager;default/GemPlayer;default/GemTrack	?BuildScrollingDeployZone@VocalTrack@@QAAXHABU?$pair@MM@stlpmtx_std@@@Z;?BuildStaticDeployZone@VocalTrack@@QAAXHABU?$pair@MM@stlpmtx_std@@MAAMAAV?$deque@VLyricShift@VocalTrack@@V?$StlNodeAlloc@VLyricShift@VocalTrack@@@stlpmtx_std@@@3@@Z;?CanFlail@GemPlayer@@QAA_NM@Z;?ChangeDifficulty@GemTrack@@QAAXW4Difficulty@@H@Z
1988	7	16	F_ungraded	??4?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	??4?$vector@MV?$StlNodeAlloc@M@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	default/CharBonesSamples;default/ChordShapeGenerator;default/GemTrackDir;default/SongInfoCopy	??0SongInfoCopy@@QAA@PBVSongInfo@@@Z;??4TrackerDesc@@QAAAAV0@ABV0@@Z;?Clone@CharBonesSamples@@QAAXABV1@@Z;?Configure@Tracker@@QAAXABVTrackerDesc@@@Z
1692	1	1	F_ungraded	?UpdateTarget@Target@BandCamShot@@QAAXVSymbol@@PAV2@@Z	?UpdateTarget@Target@HamCamShot@@QAAXVSymbol@@PAV2@@Z	default/BandCamShot	?PropSync@@YA_NAAUTarget@HamCamShot@@AAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
1320	3	3	F_sub100	?_M_fill_insert@?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVVector3@@IABV3@@Z	?_M_fill_insert@?$vector@USpotlightDrawerEntry@LightPreset@@V?$StlNodeAlloc@USpotlightDrawerEntry@LightPreset@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAUSpotlightDrawerEntry@LightPreset@@IABU34@@Z	default/LightPreset	??$?5USpotlightDrawerEntry@LightPreset@@V?$StlNodeAlloc@USpotlightDrawerEntry@LightPreset@@@stlpmtx_std@@@@YAAAVBinStreamRev@@AAV0@AAV?$vector@USpotlightDrawerEntry@LightPreset@@V?$StlNodeAlloc@USpotlightDrawerEntry@LightPreset@@@stlpmtx_std@@@stlpmtx_std@@@Z;??$PropSync@USpotlightDrawerEntry@LightPreset@@@@YA_NAAV?$vector@USpotlightDrawerEntry@LightPreset@@V?$StlNodeAlloc@USpotlightDrawerEntry@LightPreset@@@stlpmtx_std@@@stlpmtx_std@@AAVDataNode@@PAVDataArray@@HW4PropOp@@@Z;??0Keyframe@LightPreset@@QAA@PAVObject@Hmx@@@Z
1248	7	7	F_sub100	??RAccomplishmentCmp@@QBA_NVSymbol@@0@Z	??RAccomplishmentCategoryCmp@@QBA_NVSymbol@@0@Z	default/AccomplishmentPanel	??$__linear_insert@PAVSymbol@@V1@VAccomplishmentCategoryCmp@@@stlpmtx_std@@YAXPAVSymbol@@0V1@VAccomplishmentCategoryCmp@@@Z;??$__lower_bound@PAVSymbol@@V1@VAccomplishmentCategoryCmp@@H@stlpmtx_std@@YAPAVSymbol@@PAV1@0ABV1@VAccomplishmentCategoryCmp@@PAH@Z;??$__merge_backward@PAVSymbol@@PAV1@PAV1@VAccomplishmentCategoryCmp@@@stlpmtx_std@@YAPAVSymbol@@PAV1@0000VAccomplishmentCategoryCmp@@@Z;??$__merge_without_buffer@PAVSymbol@@HVAccomplishmentCategoryCmp@@@stlpmtx_std@@YAXPAVSymbol@@00HHVAccomplishmentCategoryCmp@@@Z
1200	2	2	AIRTIGHT	?ShowChordNums@GameGem@@QBA_NXZ	?Loose@GameGem@@QBA_NXZ	default/BaseGuitarTrackWatcherImpl;default/RGGemMatcher	?CheckForFretTimeout@BaseGuitarTrackWatcherImpl@@QAAXM@Z;?FretMatchImpl@RGGemMatcher@@QBA_NABVGameGem@@MMMM_N1W4RGMatchType@@@Z
1068	3	7	F_ungraded	?Loose@GameGem@@QBA_NXZ	?IsRealGuitar@GameGem@@QBA_NXZ	default/BaseGuitarTrackWatcherImpl;default/TrackWatcherImpl;default/band3/bandtrack/Gem	?CanHopo@BaseGuitarTrackWatcherImpl@@QBA_NH@Z;?CreateWidgetInstances@Gem@@QAAXVSymbol@@@Z;?SendSeen@TrackWatcherImpl@@QAAXMH@Z
904	1	3	F_ungraded	?SetAllowPerPixel@RndShaderMgr@@QAAX_N@Z	?SetImportantStrings@GameGem@@QAAXE@Z	default/GemManager	?SetupRealGuitarImportantStrings@GemManager@@QAAXXZ
892	1	1	AIRTIGHT	?SetAutoplayError@BeatMatcher@@QAAXH@Z	?Restart@BeatMatcher@@QAAXXZ	default/GemPlayer	?Restart@GemPlayer@@UAAX_N@Z
588	1	1	F_ungraded	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@HHU?$hash@H@stlpmtx_std@@U?$equal_to@H@2@V?$StlNodeAlloc@U?$pair@$$CBHH@stlpmtx_std@@@2@@stlpmtx_std@@QAA@XZ	default/band3/meta_band/AccomplishmentProgress	??0AccomplishmentProgress@@QAA@PAVBandProfile@@@Z
536	2	2	F_ungraded	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@HPAVUIComponent@@U?$hash@H@stlpmtx_std@@U?$equal_to@H@3@V?$StlNodeAlloc@U?$pair@$$CBHPAVUIComponent@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	default/CharacterCreatorPanel;default/CustomizePanel	??0CharacterCreatorPanel@@QAA@XZ;??0CustomizePanel@@QAA@XZ
520	1	1	AIRTIGHT	?GetParticipatingBandUsersInSession@BandUserMgr@@QBAHAAV?$vector@PAVBandUser@@V?$StlNodeAlloc@PAVBandUser@@@stlpmtx_std@@@stlpmtx_std@@@Z	?GetParticipatingBandUsers@BandUserMgr@@QBAHAAV?$vector@PAVBandUser@@V?$StlNodeAlloc@PAVBandUser@@@stlpmtx_std@@@stlpmtx_std@@@Z	default/AccomplishmentPanel	?HasCorrectPlayerCount@AccomplishmentPanel@@QAA_NXZ
452	2	3	F_ungraded	?GetType@AccomplishmentOneShot@@UBA?AW4AccomplishmentType@@XZ	?SaveSize@GameplayOptions@@SAHH@Z	default/GameplayOptions;default/band3/meta_band/BandProfile	??0GameplayOptions@@QAA@XZ;?SaveSize@BandProfile@@SAHH@Z
408	2	3	AIRTIGHT	?ReverseSlide@GameGem@@QBA_NXZ	?LeftHandSlide@GameGem@@QBA_NXZ	default/GemManager;default/TrackWatcherImpl	?KillSustain@TrackWatcherImpl@@QAAXH@Z;?Released@GemManager@@QAAXMH@Z
344	1	2	AIRTIGHT	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@QAA@XZ	default/band3/meta_band/InterstitialMgr	?SetFromConfig@InterstitialMgr@@QAAXXZ
