unit	cls	rows	rep	asm	ambig_asm	deficit	tgtfn	ourfn	ostate	our_loc	wii_loc	dc3_loc	unit_matched	src
default/DuplicatedObject	A_QUAZAL	83	24188	24188	0	49	95	46	WE_ALREADY_HOLD	98	75	-1	1.2452107279693487	src/network/ObjDup/DuplicatedObject.cpp
default/RockCentral	B_BAND3	134	20368	20368	760	-353	956	1309	WE_ALREADY_HOLD	1991	1899	-1	56.081946222791295	src/band3/net_band/RockCentral.cpp
default/VocalTrackDir	C_SYSTEM	166	15544	15544	3556	-1313	614	1927	WE_ALREADY_HOLD	1467	1361	-1	55.72218338946432	src/system/bandobj/VocalTrackDir.cpp
default/network/quazal/Transport/PRUDP/PRUDPEndPoint	A_QUAZAL	64	12992	12992	0	64	64	0	SCAFFOLD_NO_ORACLE	7	-1	-1	0.0	src/network/quazal/Transport/PRUDP/PRUDPEndPoint.cpp
default/BandSongMetadata	B_BAND3	61	12252	12252	1392	-618	253	871	WE_ALREADY_HOLD	594	511	-1	42.9813124728379	src/band3/meta_band/BandSongMetadata.cpp
default/network/quazal/ObjDupProtocol	A_QUAZAL	53	12060	12060	0	53	53	0	SCAFFOLD_NO_ORACLE	7	-1	-1	0.0	src/network/quazal/ObjDupProtocol.cpp
default/Text	C_SYSTEM	26	10412	10412	0	-467	171	638	ORACLE_SURPLUS	2041	1997	2790	41.82874122096164	src/system/rndobj/Text.cpp
default/GemManager	B_BAND3	35	10288	10288	80	-1288	187	1475	WE_ALREADY_HOLD	1688	1669	-1	39.21023359288098	src/band3/bandtrack/GemManager.cpp
default/MoveMgr	C_SYSTEM	58	10328	10272	160	-1848	115	1963	WE_ALREADY_HOLD	1008	-1	1008	12.88135593220339	src/system/hamobj/MoveMgr.cpp
default/LightPreset	C_SYSTEM	35	10092	10092	104	-5743	398	6141	WE_ALREADY_HOLD	1512	1387	1406	62.24454450987184	src/system/world/LightPreset.cpp
default/system/bandobj/BandTrack	C_SYSTEM	51	10076	10076	624	-53	271	324	WE_ALREADY_HOLD	1045	1017	-1	53.53942070398753	src/system/bandobj/BandTrack.cpp
default/DirLoader	C_SYSTEM	61	9192	9192	600	-266	205	471	WE_ALREADY_HOLD	1523	833	1120	39.81705212288574	src/system/obj/DirLoader.cpp
default/network/quazal/Transport/PRUDP/PRUDPStream	A_QUAZAL	69	8888	8888	1640	69	69	0	SCAFFOLD_NO_ORACLE	7	-1	-1	0.0	src/network/quazal/Transport/PRUDP/PRUDPStream.cpp
default/network/quazal/Transport/Interface/NATTraversalEngine	A_QUAZAL	69	8680	8680	1360	69	69	0	SCAFFOLD_NO_ORACLE	7	-1	-1	0.0	src/network/quazal/Transport/Interface/NATTraversalEngine.cpp
default/MetaPerformer	B_BAND3	36	8404	8404	0	-666	358	1024	WE_ALREADY_HOLD	1831	1900	-1	73.26592326592326	src/band3/meta_band/MetaPerformer.cpp
default/EventTrigger	C_SYSTEM	33	8384	8384	1148	-4256	341	4597	WE_ALREADY_HOLD	946	874	880	49.59189417393752	src/system/rndobj/EventTrigger.cpp
default/AmbientOcclusion	C_SYSTEM	19	8168	8168	0	-9302	147	9449	WE_ALREADY_HOLD	1730	53	1615	39.6551724137931	src/system/rndobj/AmbientOcclusion.cpp
default/CharBoneDir	C_SYSTEM	45	7916	7916	80	-658	201	859	WE_ALREADY_HOLD	418	343	324	49.62061055232045	src/system/char/CharBoneDir.cpp
default/network/quazal/Transport/Interface/StationURL	A_QUAZAL	69	7856	7856	1188	71	71	0	SCAFFOLD_NO_ORACLE	8	-1	-1	0.0	src/network/quazal/Transport/Interface/StationURL.cpp
default/MidiParser	C_SYSTEM	54	6544	7496	0	-43	227	270	WE_ALREADY_HOLD	725	721	690	66.6813251245969	src/system/midi/MidiParser.cpp
default/Scheduler	A_QUAZAL	23	7472	7472	0	-21	26	47	WE_ALREADY_HOLD	31	31	-1	0.0	src/network/Core/Scheduler.cpp
default/ChordShapeGenerator	C_SYSTEM	17	7428	7428	0	-444	142	586	WE_ALREADY_HOLD	893	870	-1	37.305310564833924	src/system/bandobj/ChordShapeGenerator.cpp
default/MusicLibraryStore	B_BAND3	33	6016	7424	384	-473	68	541	NONE	94	-1	-1	20.072661217075385	src/band3/meta_band/MusicLibraryStore.cpp
default/UI	C_SYSTEM	42	7352	7352	0	-486	210	696	WE_ALREADY_HOLD	1379	1036	1275	39.13826998689384	src/system/ui/UI.cpp
default/system/rnddx9/ShaderMgr	C_SYSTEM	35	7300	7288	112	-113	83	196	ORACLE_SURPLUS	367	-1	520	20.05703422053232	src/system/rnddx9/ShaderMgr.cpp
default/band3/game/Game	B_BAND3	18	6916	6916	0	-819	355	1174	WE_ALREADY_HOLD	1679	1834	-1	55.02401725321047	src/band3/game/Game.cpp
default/CustomizePanel	B_BAND3	20	6720	6720	272	-588	237	825	WE_ALREADY_HOLD	1522	1169	-1	40.0	src/band3/meta_band/CustomizePanel.cpp
default/UILabel	C_SYSTEM	32	6620	6620	120	-225	226	451	WE_ALREADY_HOLD	1233	1078	961	60.286948042902914	src/system/ui/UILabel.cpp
default/network/quazal/Services/Facades/Client/JobBackEndServicesLogin	A_QUAZAL	19	6544	6544	0	21	21	0	SCAFFOLD_NO_ORACLE	7	-1	-1	0.0	src/network/quazal/Services/Facades/Client/JobBackEndServicesLogin.cpp
default/system/rndobj/Utl	C_SYSTEM	32	6424	6460	0	-8033	212	8245	WE_ALREADY_HOLD	2757	1534	2730	34.144824522434476	src/system/rndobj/Utl.cpp
default/Font	C_SYSTEM	20	6332	6332	0	-2443	110	2553	WE_ALREADY_HOLD	827	578	802	46.758436944937834	src/system/rndobj/Font.cpp
default/network/quazal/Transport/UDP/UDPTransport	A_QUAZAL	42	6184	6184	880	42	42	0	SCAFFOLD_NO_ORACLE	7	-1	-1	0.0	src/network/quazal/Transport/UDP/UDPTransport.cpp
default/GemPlayer	B_BAND3	23	6124	6124	0	-797	341	1138	WE_ALREADY_HOLD	2896	2891	-1	59.19594808483697	src/band3/game/GemPlayer.cpp
default/Anim	C_SYSTEM	18	6040	6040	0	-2449	209	2658	WE_ALREADY_HOLD	664	390	607	51.56935538305771	src/system/rndobj/Anim.cpp
default/network/quazal/JobJoinSession	A_QUAZAL	14	6036	6036	0	15	15	0	SCAFFOLD_NO_ORACLE	7	-1	-1	0.0	src/network/quazal/JobJoinSession.cpp
default/band3/bandtrack/Gem	B_BAND3	22	5956	5956	0	-1907	210	2117	WE_ALREADY_HOLD	643	598	-1	37.54477817580601	src/band3/bandtrack/Gem.cpp
default/BandCharacter	C_SYSTEM	55	6660	5944	604	-1190	611	1801	ORACLE_SURPLUS	3308	5401	-1	63.11802232854865	src/system/bandobj/BandCharacter.cpp
default/TrackPanelDir	C_SYSTEM	38	5856	5856	648	-305	237	542	ORACLE_SURPLUS	733	858	-1	54.90802819322675	src/system/bandobj/TrackPanelDir.cpp
default/network/quazal/Station	A_QUAZAL	27	5836	5836	0	27	27	0	SCAFFOLD_NO_ORACLE	8	-1	-1	0.0	src/network/quazal/Station.cpp
default/CharClip	C_SYSTEM	29	5816	5816	80	-683	240	923	WE_ALREADY_HOLD	1153	1140	1186	67.7379983726607	src/system/char/CharClip.cpp
default/BandSongMgr	B_BAND3	23	5812	5812	80	-1584	192	1776	WE_ALREADY_HOLD	1194	1032	-1	50.94845755891933	src/band3/meta_band/BandSongMgr.cpp
