cls	n_fns	n_arbitrary	span_lo	span_hi	span_bytes	owned_bytes	overlap_pinned	overlap_sibling
Compiler,D3DXShader	26	0	0x829C6C50	0x829DE538	96488	96432	0	0
CCompiler,CConstantTable,CConstant	51	0	0x828970B8	0x828AB2E8	82480	82320	0	0
CProgram,CParse,D3DXShader	65	0	0x828EF2D0	0x829022B0	77792	77660	0	0
Compiler,CCodec	24	0	0x829EF750	0x82A00194	68164	68124	0	0
CShaderProgram,D3DXShader,C30SWProgramCI	90	0	0x828CC328	0x828DA8D4	58796	58568	0	0
CPSLegacyProgram,CPSProgram,D3DXShader	66	0	0x82917490	0x82923114	48260	48124	0	0
Compiler,Instruction,CompilerHeap	68	0	0x8295B1B8	0x829651FC	41028	40868	0	0
Compiler	11	0	0x8299C030	0x829A5AA4	39540	39516	0	0
CProgram,D3DXShader	59	0	0x828E6B28	0x828EF234	34572	34452	0	0
XGRAPHICS,CBlt,FastVectorBase	69	0	0x82946ED0	0x8294F308	33848	33724	0	0
CPSLegacyProgram,CVSProgram,C30Program	32	0	0x829231E0	0x82929B20	26944	26888	0	0
Compiler	16	0	0x829A6EA8	0x829ACF78	24784	24764	0	0
Compiler	9	0	0x829AD048	0x829B29D8	22928	22928	0	0
CShaderProgram,C30Program,C30SWProgram	65	0	0x828DD700	0x828E2F3C	22588	22320	0	0
Compiler,Instruction,Dependency	22	0	0x8298C508	0x82991B40	22072	22016	0	0
xWMA	34	0	0x82BEA210	0x82BEF788	21880	21788	0	0
xWMA	52	0	0x82BF9F88	0x82BFF4F4	21868	21760	0	0
Compiler,Dependency	17	0	0x829950A0	0x8299A278	20952	20928	0	0
CParse	31	0	0x82906B30	0x8290BB00	20432	20364	0	0
Compiler,Block,D3DXShader	11	0	0x82974CB0	0x82979C48	20376	20344	0	0
Compiler,D3DXShader,Instruction	8	0	0x8297CDD8	0x82981A78	19616	19616	0	0
xWMA	25	0	0x82BFFAF0	0x82C04674	19332	19276	0	0
XGRAPHICS,Compiler,D3DXShader	45	0	0x82940538	0x82944D6C	18484	18364	0	0
CUAssembler	15	0	0x828B9620	0x828BD834	16916	16888	0	0
CUAssembler,C30SWProgram,D3DXShader	24	0	0x828BDF80	0x828C2174	16884	16812	0	0
Compiler	26	0	0x829B7C90	0x829BB99C	15628	15540	0	0
C30SWProgram,C30SWProgramML	20	0	0x828C7E58	0x828CB7EC	14740	14716	0	0
XGRAPHICS,D3DX	23	0	0x8292FE70	0x82933154	13028	12972	0	0
C30SWProgram,C30SWProgramCI,C30Program	32	0	0x828C26F8	0x828C58E4	12780	12724	0	0
xWMA,CBuffer	24	0	0x82C046F8	0x82C078D0	12760	12704	0	0
CPSProgram,C30Program,D3DXShader	19	0	0x82914480	0x8291742C	12204	12168	0	0
Instruction,D3DXShader,Compiler	42	0	0x82A216A8	0x82A2462C	12164	12112	0	0
xWMA	24	0	0x82BE6B50	0x82BE9AC0	12144	12100	0	0
Compiler,ResultStack,ResultStackEnumerator	35	0	0x829E9398	0x829EC2B8	12064	11948	0	0
Compiler,Instruction,Scheduler	15	0	0x82983A80	0x82986890	11792	11760	0	0
CAssembler,CFragmentRegisterAllocator,CFragmentInfo	15	0	0x828900A0	0x82892D40	11424	11396	0	0
CShaderProgram	13	0	0x828DA928	0x828DD4D0	11176	11152	0	0
Compiler,Instruction,D3DXShader	39	0	0x8296D498	0x8296FFA8	11024	10952	0	0
CParse	21	0	0x829024C0	0x82904F28	10856	10820	0	0
CConstantTable,D3DXTex,CConstant	18	0	0x828AE908	0x828B1234	10540	10520	0	0
CInstruction,C30Program,CArgument	27	0	0x828E2FE0	0x828E587C	10396	10332	0	0
xWMA	13	0	0x82C0CE10	0x82C0F4E0	9936	9912	0	0
-	12	0	0x82841220	0x82843870	9808	9760	0	0
CParse	7	0	0x8290E1D0	0x829107C8	9720	9704	0	0
ShaderPDBBuilder	58	0	0x8293B9F8	0x8293DFB0	9656	9500	0	0
Compiler	15	0	0x829704F8	0x82972A28	9520	9496	0	0
XGRAPHICS,CShaderCost,D3D	25	0	0x829339D8	0x82935EDC	9476	9416	0	0
COAPReverbMono,COAPReverbFromMonoTo5Point1,COAPReverbStereo	10	0	0x82BD9F00	0x82BDC380	9344	9320	0	0
XGRAPHICS,Instruction,Dependency	20	0	0x82958238	0x8295A680	9288	9244	0	0
Compiler	3	0	0x8296A6E8	0x8296CAE0	9208	9200	0	0
CBaseEndianBuffer,CSchemaAccess,CConformanceList	45	0	0x82A6AB80	0x82A6CF98	9240	9096	0	0
xWMA	8	0	0x82C0A220	0x82C0C574	9044	9036	0	0
CAssembler,CAssemblerYaccStruct	4	0	0x82892DD8	0x828950E0	8968	8960	0	0
-	11	0	0x82C1D408	0x82C1F6C4	8892	8880	0	0
Compiler,Instruction,D3DXShader	27	0	0x82991BC8	0x82993DC0	8696	8644	0	0
Compiler,Instruction	17	0	0x82A29EF0	0x82A2C0B4	8644	8612	0	0
CBlt,D3DXTex,XG_D3DXTex	15	0	0x82877FE8	0x8287A13C	8532	8504	0	0
Compiler,Instruction,Dependency	7	0	0x8298A460	0x8298C49C	8252	8232	0	0
-	47	0	0x82830FF8	0x82833138	8512	8160	0	0
D3D	20	0	0x8284E2F0	0x828502B8	8136	8048	0	0
Disassembler	11	0	0x8294F3C0	0x82951304	8004	7992	0	0
CCompiler,D3DXShader	17	0	0x82895160	0x82896FF4	7828	7792	0	0
Stream	23	0	0x829368A8	0x82938728	7808	7768	0	0
-	20	0	0x82C0F828	0x82C1162C	7684	7620	0	0
CVSProgram,CFXLProgram,CPSLegacyProgram	12	0	0x82929B80	0x8292B880	7424	7404	0	0
xWMA,CMixMatrix	23	0	0x82BF7748	0x82BF931C	7124	7080	0	0
