# unit	matched_code	matched_functions	total_code	total_functions
default/AAFilter	620	6	620	6
default/ADSR	1228	9	1416	16
default/Accomplishment	3272	49	8328	89
default/AccomplishmentCategory	160	2	412	5
default/AccomplishmentConditional	956	20	2476	28
default/AccomplishmentDiscSongConditional	1460	17	2728	30
default/AccomplishmentPanel	45140	369	49672	396
default/AccomplishmentPlayerConditional	6568	58	6648	59
default/AccomplishmentSetlist	836	11	932	12
default/AccomplishmentSongConditional	2548	37	4684	48
default/AccomplishmentSongFilterConditional	2220	22	2668	25
default/AccuracyTracker	1512	12	1512	12
default/Achievements	872	11	1508	19
default/AllocInfo	456	7	620	10
default/AmbientOcclusion	11512	109	28492	146
default/Anim	12468	168	23592	205
default/AnimFilter	5476	49	5648	51
default/App	0	0	2176	9
default/AppChild	1192	14	1192	14
default/AppInlineHelp	4416	54	8304	73
default/AppLabel	19008	181	21060	194
default/Archive	7488	61	11196	77
default/ArkFile	788	16	1404	19
default/AssetTypes	4872	58	6124	72
default/AsyncFile	2320	21	3584	26
default/AsyncFileHolmes	120	2	120	2
default/AsyncFile_Win	824	6	2088	12
default/AsyncTask	184	2	328	4
default/Award	1720	25	2484	27
default/BandCamShot	21836	239	33856	294
default/BandCharDesc	23684	238	32424	267
default/BandCharacter	48436	537	70620	618
default/BandCrowdMeter	9860	118	14560	139
default/BandDirector	46296	505	64296	547
default/BandHighlight	4328	50	5468	55
default/BandIKEffector	7056	94	15716	117
default/BandLabel	4640	58	7652	70
default/BandLeadMeter	3608	62	7588	87
default/BandList	12408	130	17716	150
default/BandMachine	3284	51	6048	68
default/BandMachineMgr	7752	89	10156	102
default/BandPatchMesh	2868	30	6924	49
default/BandRetargetVignette	3516	43	5304	52
default/BandScoreboard	3660	56	6624	77
default/BandSongMetadata	11956	175	27312	250
default/BandSongMgr	10820	141	20632	185
default/BandSongPref	1048	11	1280	13
default/BandStarDisplay	2780	50	5480	60
default/BandSwatch	3752	70	8612	113
default/BandUI	18604	188	19740	199
default/BandUser	12580	145	18168	206
default/BandWardrobe	21188	236	33608	270
default/BaseGuitarTrackWatcherImpl	3748	22	3876	22
default/BaseMaterial	2672	31	4296	36
default/BeatMap	1032	7	1568	10
default/BeatMatchController	416	4	1712	15
default/BeatMatcher	6496	84	9836	117
default/BinStream	1836	20	2192	27
default/BinkClip	292	6	752	7
default/BinkMovieSys_Xbox	24	2	64	2
default/Biquad	176	2	176	2
default/Bitmap	7524	42	10348	49
default/BlockMgr	3724	40	5460	54
default/BoxMap	572	3	2268	8
default/BufStream	504	7	1532	20
default/BustAMoveData	100	1	100	1
default/ButtonHolder	5976	57	6696	64
default/ByteGrinder	7780	88	12620	102
default/CDReader	40	1	868	4
default/Cache	120	4	128	5
default/CacheMgr	552	11	652	12
default/CacheMgr_Xbox	3256	28	5256	40
default/Cache_Xbox	7028	75	9128	83
default/CalibrationPanel	10904	107	17204	124
default/Cam	6116	57	9040	95
default/CamAnim	2040	31	3796	42
default/CameraInput	8	1	308	3
default/CameraManager	10740	101	16692	138
default/CameraShot	26184	268	45452	321
default/CameraTilt	120	2	120	2
default/Campaign	16336	158	20296	181
default/CampaignLevel	816	9	2100	15
default/CampaignSongInfoPanel	5152	53	5152	53
default/Char	8508	136	11568	154
default/CharBlendBone	2588	35	4144	42
default/CharBone	6316	69	7800	76
default/CharBoneDir	11620	133	22420	196
default/CharBoneOffset	1976	25	2384	28
default/CharBones	3356	36	11228	43
default/CharBonesBlender	3172	39	3296	39
default/CharBonesMeshes	3524	48	7148	62
default/CharBonesSamples	3496	29	8748	39
default/CharClip	20140	188	29320	235
default/CharClipDriver	3288	21	4184	23
default/CharClipGroup	4996	55	8808	76
default/CharClipSet	5788	79	11244	94
default/CharCollide	3800	39	4356	44
default/CharCuff	4516	44	9464	58
default/CharData	2508	32	3264	38
default/CharDriver	11840	140	18156	163
default/CharDriverMidi	3676	38	4960	47
default/CharEyeDartRuleset	2884	24	3860	29
default/CharEyes	17116	191	33656	249
default/CharFaceServo	3796	51	5400	57
default/CharFeedback	340	5	1236	12
default/CharForeTwist	1512	21	2812	30
default/CharGuitarString	2248	30	3628	38
default/CharHair	16600	161	26904	186
default/CharIKFingers	7808	99	17332	119
default/CharIKFoot	2644	39	4224	41
default/CharIKHand	2136	30	4312	38
default/CharIKHead	6364	77	9456	81
default/CharIKMidi	3736	47	6220	58
default/CharIKRod	3432	43	6180	58
default/CharIKScale	3816	41	7316	48
default/CharIKSliderMidi	3572	48	6880	65
default/CharInterest	4592	42	5244	44
default/CharLipSync	7116	66	11948	93
default/CharLipSyncDriver	7352	89	10420	100
default/CharLookAt	6124	56	8696	56
default/CharMeshHide	9940	103	13692	128
default/CharMirror	2996	37	4188	41
default/CharNeckTwist	1916	30	2832	33
default/CharPollGroup	3816	45	5888	55
default/CharPosConstraint	2548	25	3064	28
default/CharServoBone	4828	50	6736	69
default/CharSignalApplier	576	7	1692	14
default/CharSleeve	2992	32	5252	34
default/CharTaskMgr	60	1	532	3
default/CharTransDraw	420	8	500	9
default/CharUpperTwist	1824	22	3024	32
default/CharUtl	2788	16	3424	19
default/CharWeightSetter	5236	50	6112	53
default/CharWeightable	1704	22	1976	23
default/Character	16952	208	34012	284
