# GENUINE residue of the relocation-name audit -- WORKLIST, NOT A DEFECT LIST.
# Regenerate: tools/relocname_genuine_worklist.py --out <this file>
# Source     : decomp-bench/archive/harvest/relocname-audit-2026-08-06/pairs_folded2.json (sha256 af61ba6ae8b4e1f0...)
# Audit tree : rb3-xenon@a236686e   ruler: name_check, objdiff-cli sha256 ca2be75232767f53...
# Cut at     : rb3-xenon@e8fe5238
# Rows       : 3004 rows = 3356 charged call sites over 1506 distinct (T,B) pairs, 2863 enclosing functions, 561 units
# pair_sites : charged sites for this (T,B) pair BINARY-WIDE.  fn_sites: charged sites for it inside THIS enclosing function.
# body       : DIFF_SAMESIZE=170  DIFF_SIZE=2834
#              DIFF_SIZE = our body for B differs in LENGTH from retail at addr(T); DIFF_SAMESIZE = same length, different code.
# map        : the SYMBOL-MAP verdict for the same pair. It disagrees with `body` constantly and the body test is the one to believe --
#              6,677 pairs the map test calls a defect are byte-identical bodies. Kept only so the divergence stays visible.
# joins      : T = target callee still in scripts/target_symbol_map.json; B = our callee still named by a built obj, AT THE CUT COMMIT.
#              -B=6  T-=15  TB=2983
#
# *** GENUINE IS AN UPPER BOUND ON DEFECTS. *** A body difference means EITHER our source calls the wrong function OR the retail map
# mis-attributes the name at the destination VA -- and this repo's whole map(...) lane series exists to repair the latter. The adjudicated
# figure for the whole at-100 charged population is 298 fns / 25,920 B / 0.2425 pp WRONG (lane CW-2, 34017f74); CV-4's earlier estimate was
# 353 fns / 24,836 B / 0.23 pp (34b44dd6). Adjudicate a row with tools/xbin_adjudicate.py (cross-binary, masks exactly the relocated
# field via our own relocation table, calibrated) or tools/at100_adjudicate.py -- NEVER from the symbol map, and NEVER auto-apply.
# The upstream comparator masks every D-form and branch displacement unconditionally and ignores relocation target names, so it
# over-produces FOLD and this residue is if anything SHORT. Not a population census.
pair_sites	fn_sites	body	map	joins	opcode	unit	enclosing_fn	target_callee	our_callee
501	5	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/AccomplishmentPanel	?Enter@AccomplishmentPanel@@UAAXXZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/Achievements	?Init@Achievements@@SAXXZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/AmbientOcclusion	?BuildTrees@RndAmbientOcclusion@@QAAXW4Quality@1@@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/BandCharacter	?SetDeformation@BandCharacter@@QAAXXZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	2	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/BandMachineMgr	??0BandMachineMgr@@QAA@PAVSessionMgr@@PAVBandUserMgr@@@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/BandMachineMgr	?NewNetMessage@SyncLocalMachineMsg@?A0x92bae52f@@SAPAVNetMessage@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/BandMachineMgr	?NewNetMessage@SyncMachineMsg@?A0xdc7f467b@@SAPAVNetMessage@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	3	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/BandUI	?Init@BandUI@@UAAXXZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/BandUser	?NewLocalBandUser@BandUser@@SAPAVLocalBandUser@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/BandUser	?NewNullLocalBandUser@BandUser@@SAPAVNullLocalBandUser@@XZ	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/BeatMatcher	??0BeatMatcher@@QAA@ABVUserGuid@@HHVSymbol@@PAVSongData@@AAVSongInfo@@PAVDataArray@@PAVBeatMaster@@@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/BeatMatcher	?SetTrack@BeatMatcher@@UAAXH@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
501	1	DIFF_SIZE	DIFFERENT_FUNCTION	TB	bl	default/CameraManager	?FindOrAddCategory@CameraManager@@AAAAAV?$ObjPtrList@VCamShot@@VObjectDir@@@@VSymbol@@@Z	??2CriticalSection@@SAPAXI@Z	??2@YAPAXI@Z
