# Retail-byte adjudication of sympair-queue rows. tools/sympair_adjudicate.py (W18).
# A_PROVEN_FOLD          our callee's body IS retail's code there. Alias-only; NOT source-reachable.
#                        `evidence` VACUOUS = <=2 non-relocated words compared: a thunk, near-no evidence.
# B1 callee ABSENT       our callee's code is nowhere in retail -> source divergence, not cheap.
# B2 callee PRESENT unnamed -> identification gap; naming the address adjudicates it.
# D1 ROW_NAME_REFUTED    our call is ENTAILED by the row's own name and retail's is not =>
#                        the ROW's map name is wrong. Proves EXISTENCE, not ASSIGNMENT (W7).
# D2 SOURCE_DEFECT       neither callee entailed => our source chose, and chose wrong. FIXABLE.
# D4 MAP_DEFECT          retail's own name at `at` is not body-confirmed either.
verdict	size	fuzzy	cls	evidence	nwords	unit	symbol	at	target_symbol	our_symbol	found
D2_SOURCE_DEFECT_we_had_freedom	168	99.88095	MIXED/UNKNOWN		29	default/StorePanel	??0DancerSequence@@IAA@XZ	0x82812920			
D2_SOURCE_DEFECT_we_had_freedom	148	99.86487	MIXED/UNKNOWN		8	default/Sfx	?UpdateVolume@SfxInst@@UAAXXZ	0x8270d748			
D2_SOURCE_DEFECT_we_had_freedom	88	99.77273	MIXED/UNKNOWN		18	default/CameraManager	??_Gbad_alloc@std@@UAAPAXI@Z	0x82659160			
D2_SOURCE_DEFECT_we_had_freedom	84	99.7619	MIXED/UNKNOWN		24	default/rtti	??0bad_cast@std@@QAA@PBD@Z	0x822758f0			
D2_SOURCE_DEFECT_we_had_freedom	80	99.75	MIXED/UNKNOWN		20	default/PropAnim	?Save@FloatKeys@@UAAXAAVBinStream@@@Z	0x8242ae18			
D2_SOURCE_DEFECT_we_had_freedom	80	99.5	MIXED/UNKNOWN		34	default/PropAnim	?Load@ColorKeys@@UAAXAAVBinStreamRev@@@Z	0x8237f0a0			
D2_SOURCE_DEFECT_we_had_freedom	80	99.75	MIXED/UNKNOWN		20	default/PropAnim	?Load@FloatKeys@@UAAXAAVBinStreamRev@@@Z	0x8242e1a0			
D2_SOURCE_DEFECT_we_had_freedom	72	99.44444	MIXED/UNKNOWN		13	default/CharClipSet	?SortGroups@CharClipSet@@QAAXXZ	0x8238ea60			
D2_SOURCE_DEFECT_we_had_freedom	72	99.44444	MIXED/UNKNOWN		14	default/DataFunc	?DataBasename@@YA?AVDataNode@@PAVDataArray@@@Z	0x8274b0f8			
D2_SOURCE_DEFECT_we_had_freedom	60	99.66666	MIXED/UNKNOWN		66	default/rtti	??0NgFur@@IAA@XZ	0x8282a258			
D2_SOURCE_DEFECT_we_had_freedom	12	98.33334	MIXED/UNKNOWN		37	default/TrackPanelDir	?Save@TrackPanelDirBase@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z	0x823038c0			
D2_SOURCE_DEFECT_we_had_freedom	8	97.5	MIXED/UNKNOWN		30	default/band3/game/TrainerPanel	??$_Destroy@UGrammar@SpeechMgr@@@stlpmtx_std@@YAXPAUGrammar@SpeechMgr@@@Z	0x82823340			
D2_SOURCE_DEFECT_we_had_freedom	4	95.0	MIXED/UNKNOWN		20	default/StreamNull	??$__ucopy_aux@PAPAVFaderGroup@@PAPAV1@@stlpmtx_std@@YAPAPAVFaderGroup@@PAPAV1@00ABU__true_type@0@@Z	0x82706c18			
