# Repeated (target -> ours) relocation-symbol pairs = SHARED defects.
# One correct name can cross many rows. crossable_bytes counts only rows
# whose ONLY charges are symbol pairs; total_bytes includes MIXED rows.
sites	rows	total_bytes	tgt_addr	target_symbol	our_symbol
89	30	9032	0x823d14c0	?insert@?$list@PAVCharClip@@V?$StlNodeAlloc@PAVCharClip@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@PAVCharClip@@U?$_Nonconst_traits@PAVCharClip@@@stlpmtx_std@@@2@U32@ABQAVCharClip@@@Z	?insert@?$list@PAVObject@Hmx@@V?$StlNodeAlloc@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@2@U32@ABQAVObject@Hmx@@@Z
69	1	3084	0x826e9710	?push_back@?$vector@U?$pair@PBVVocalPhrase@@PAVVocalPart@@@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@PBVVocalPhrase@@PAVVocalPart@@@stlpmtx_std@@@2@@stlpmtx_std@@QAAXABU?$pair@PBVVocalPhrase@@PAVVocalPart@@@2@@Z	?push_back@?$vector@UShaderMacro@@V?$StlNodeAlloc@UShaderMacro@@@stlpmtx_std@@@stlpmtx_std@@QAAXABUShaderMacro@@@Z
64	1	2084	0x82b5f808	?push_back@?$vector@PAVChatReceiver@@V?$StlNodeAlloc@PAVChatReceiver@@@stlpmtx_std@@@stlpmtx_std@@QAAXABQAVChatReceiver@@@Z	?push_back@?$vector@P6A?AVDataNode@@PAVDataArray@@@ZV?$StlNodeAlloc@P6A?AVDataNode@@PAVDataArray@@@Z@stlpmtx_std@@@stlpmtx_std@@QAAXABQ6A?AVDataNode@@PAVDataArray@@@Z@Z
44	11	3304	0x822b0e60	??1?$ObjRefConcrete@VFlowLabel@@VObjectDir@@@@UAA@XZ	??1?$ObjRefConcrete@VEventTrigger@@VObjectDir@@@@UAA@XZ
35	22	4956	0x8227f250	??1?$ObjRefConcrete@VCharLookAt@@VObjectDir@@@@UAA@XZ	??1?$ObjRefConcrete@VRndMesh@@VObjectDir@@@@UAA@XZ
28	25	6036	0x8235cc80	?GetAward@AccomplishmentManager@@QBAPAVAward@@VSymbol@@@Z	?GetTourDesc@Tour@@QBAPAVTourDesc@@VSymbol@@@Z
22	3	2556	0x82b5f808	?push_back@?$vector@PAVChatReceiver@@V?$StlNodeAlloc@PAVChatReceiver@@@stlpmtx_std@@@stlpmtx_std@@QAAXABQAVChatReceiver@@@Z	?push_back@?$vector@PAVRndAnimatable@@V?$StlNodeAlloc@PAVRndAnimatable@@@stlpmtx_std@@@stlpmtx_std@@QAAXABQAVRndAnimatable@@@Z
19	14	4488	0x822df4d8	?_M_fill_insert@?$vector@PAMV?$StlNodeAlloc@PAM@stlpmtx_std@@@stlpmtx_std@@AAAXPAPAMIABQAM@Z	?_M_fill_insert@?$vector@MV?$StlNodeAlloc@M@stlpmtx_std@@@stlpmtx_std@@AAAXPAMIABM@Z
19	18	3788	0x82569e78	?SystemConfig@@YAPAVDataArray@@XZ	?GetAssetMgr@AssetMgr@@SAPAV1@XZ
17	16	11552	0x8235c2e0	?SyncProperty@Tour@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	?SyncProperty@Object@Hmx@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
17	4	1500	0x8229d148	??$MakeString@PBDPBD@@YAPBDPBD00@Z	??$MakeString@HH@@YAPBDPBDHH@Z
16	11	4852	0x827c9110	?Init@Movie@@SAXXZ	?TickToMs@@YAMM@Z
16	16	6400	0x827ffad8	??0RndTransformable@@IAA@XZ	??0UIComponent@@IAA@XZ
15	8	4632	0x823715e0	?reserve@?$vector@PAUDep@CharPollableSorter@@V?$StlNodeAlloc@PAUDep@CharPollableSorter@@@stlpmtx_std@@@stlpmtx_std@@QAAXI@Z	?reserve@?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@stlpmtx_std@@QAAXI@Z
15	11	3380	0x822d8cc0	??1?$vector@UNode@?$ObjPtrVec@VObject@Hmx@@VObjectDir@@@@V?$StlNodeAlloc@UNode@?$ObjPtrVec@VObject@Hmx@@VObjectDir@@@@@stlpmtx_std@@@stlpmtx_std@@QAA@XZ	??1?$vector@VString@@V?$StlNodeAlloc@VString@@@stlpmtx_std@@@stlpmtx_std@@QAA@XZ
14	8	2124	0x823d14c0	?insert@?$list@PAVCharClip@@V?$StlNodeAlloc@PAVCharClip@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@PAVCharClip@@U?$_Nonconst_traits@PAVCharClip@@@stlpmtx_std@@@2@U32@ABQAVCharClip@@@Z	?insert@?$list@PAVRndMat@@V?$StlNodeAlloc@PAVRndMat@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@PAVRndMat@@U?$_Nonconst_traits@PAVRndMat@@@stlpmtx_std@@@2@U32@ABQAVRndMat@@@Z
14	14	3548	0x823aee20	?Save@FlowValueCase@@UAAXAAVBinStream@@@Z	?Save@CharWeightable@@UAAXAAVBinStream@@@Z
14	8	1384	0x824e2038	??0Char3D@CharData@WorldCrowd@@QAA@ABU012@@Z	??4Char3D@CharData@WorldCrowd@@QAAAAU012@ABU012@@Z
13	13	3940	0x826c3888	??$?0H@?$StlNodeAlloc@V?$_List_node@H@stlpmtx_std@@@stlpmtx_std@@QAA@ABV?$StlNodeAlloc@H@1@@Z	??1GameGem@@QAA@XZ
13	13	4184	0x82272a60	?_M_fill_insert@?$vector@PAVObject@Hmx@@V?$StlNodeAlloc@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAPAVObject@Hmx@@IABQAV34@@Z	?_M_fill_insert@?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@stlpmtx_std@@AAAXPAHIABH@Z
13	10	2816	0x822b96a8	??1?$ObjRefConcrete@VBandLabel@@VObjectDir@@@@UAA@XZ	??1?$ObjRefConcrete@VRndAnimatable@@VObjectDir@@@@UAA@XZ
