# sympair queue -- rows realizable by relocation-NAME correction alone.
# Generated by tools/sympair_queue.py (lane W7-SYMPAIR, from W2-ENGINE's charged.py/sweep.py).
# ⚠ A pair here is EITHER a wrong map name (fixable, pays) OR an ICF fold
#   (irreducible). The metric CANNOT separate them -- adjudicate on retail
#   bytes with tools/retail_callers.py using tgt_addr below.
# size_if_it_crosses = bytes this row adds to matched_code IF every pair is fixed.
# pair_class: FOLD_FANIN=irreducible ICF survivor · RECIPROCAL=transposed
#   map bijection (a fold cannot transpose across two addresses) ·
#   OURS_UNMAPPED=our callee has no retail address (identification backlog).
# map_arbitrary: target addr is in the map's own _bijection_arbitrary/_icf_arbitrary list.
size	fuzzy	mpn	class	pair_class	map_arbitrary	unit	categories	symbol	n_pairs	sites	tgt_addr	target_symbol	our_symbol
9276	99.99569	100.000	SYMPAIR_ONLY_2	FOLD_FANIN	no	default/OvershellSlot	game	?Handle@OvershellSlot@@UAA?AVDataNode@@PAVDataArray@@_N@Z	2	1	0x826c3888	??$?0H@?$StlNodeAlloc@V?$_List_node@H@stlpmtx_std@@@stlpmtx_std@@QAA@ABV?$StlNodeAlloc@H@1@@Z	?ToggleMuteStatus@SessionUsersProvider@@QAAXH@Z
9276	99.99569	100.000	SYMPAIR_ONLY_2	OURS_UNMAPPED	no	default/OvershellSlot	game	?Handle@OvershellSlot@@UAA?AVDataNode@@PAVDataArray@@_N@Z	2	1	0x825df840	?clear@?$_List_base@PAVPassiveMessage@@V?$StlNodeAlloc@PAVPassiveMessage@@@stlpmtx_std@@@stlpmtx_std@@QAAXXZ	?RemoveUser@OvershellSlot@@QAAXXZ
6416	99.99065	100.000	SYMPAIR_ONLY_3	FOLD_FANIN	no	default/system/rndobj/Rnd	engine	?Handle@Rnd@@UAA?AVDataNode@@PAVDataArray@@_N@Z	3	1	0x826c3888	??$?0H@?$StlNodeAlloc@V?$_List_node@H@stlpmtx_std@@@stlpmtx_std@@QAA@ABV?$StlNodeAlloc@H@1@@Z	?TakeShot@HiResScreen@@QAAXPBDH@Z
6416	99.99065	100.000	SYMPAIR_ONLY_3	RECIPROCAL	no	default/system/rndobj/Rnd	engine	?Handle@Rnd@@UAA?AVDataNode@@PAVDataArray@@_N@Z	3	1	0x824130f0	?OnScreenDump@Rnd@@IAA?AVDataNode@@PBVDataArray@@@Z	?OnScreenDumpUnique@Rnd@@IAA?AVDataNode@@PBVDataArray@@@Z
6416	99.99065	100.000	SYMPAIR_ONLY_3	RECIPROCAL	no	default/system/rndobj/Rnd	engine	?Handle@Rnd@@UAA?AVDataNode@@PAVDataArray@@_N@Z	3	1	0x82413098	?OnScreenDumpUnique@Rnd@@IAA?AVDataNode@@PBVDataArray@@@Z	?OnScreenDump@Rnd@@IAA?AVDataNode@@PBVDataArray@@@Z
5768	99.99307	100.000	SYMPAIR_ONLY_2	FOLD_FANIN	no	default/OvershellPanel	game	?Handle@OvershellPanel@@UAA?AVDataNode@@PAVDataArray@@_N@Z	2	1	0x825b7f70	?OnMsg@OvershellPanel@@QAA?AVDataNode@@ABVConnectionStatusChangedMsg@@@Z	?OnMsg@OvershellPanel@@QAA?AVDataNode@@ABVNetStartUtilityFinishedMsg@@@Z
5768	99.99307	100.000	SYMPAIR_ONLY_2	FOLD_FANIN	no	default/OvershellPanel	game	?Handle@OvershellPanel@@UAA?AVDataNode@@PAVDataArray@@_N@Z	2	1	0x825b7f70	?OnMsg@OvershellPanel@@QAA?AVDataNode@@ABVConnectionStatusChangedMsg@@@Z	?OnMsg@OvershellPanel@@QAA?AVDataNode@@ABVServerStatusChangedMsg@@@Z
5612	99.99287	100.000	SYMPAIR_ONLY_2	RECIPROCAL	no	default/GemPlayer	game	?Handle@GemPlayer@@UAA?AVDataNode@@PAVDataArray@@_N@Z	2	1	0x82790748	?Restart@BeatMatcher@@QAAXXZ	?SetAutoplayError@BeatMatcher@@QAAXH@Z
5612	99.99287	100.000	SYMPAIR_ONLY_2	UNKNOWN	no	default/GemPlayer	game	?Handle@GemPlayer@@UAA?AVDataNode@@PAVDataArray@@_N@Z	2	1	0x82684f68	?SetFakeHitGemsInFill@SongDB@@QAAX_N@Z	?GetGemList@SongDB@@QBAPBVGameGemList@@H@Z
5428	99.99263	100.000	SYMPAIR_ONLY_2	UNKNOWN	yes	default/Game	game	?Handle@Game@@UAA?AVDataNode@@PAVDataArray@@_N@Z	2	1	0x826851a8	?GetGemListByDiff@SongDB@@QBAPAVGameGemList@@HH@Z	?SetFakeHitGemsInFill@SongDB@@QAAX_N@Z
5428	99.99263	100.000	SYMPAIR_ONLY_2	OURS_UNMAPPED	no	default/Game	game	?Handle@Game@@UAA?AVDataNode@@PAVDataArray@@_N@Z	2	1	0x82684e90	?TypeDef@Object@Hmx@@QBAPAVDataArray@@XZ	?TotalBasePoints@SongDB@@QAAHXZ
