size	class	tier	unit	symbol	fuzzy	fold_test	mapname	target_name	our_name
7260	A_FOLD_CONSISTENT	engine	default/VocalTrackDir	?SyncProperty@VocalTrackDir@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	99.9972	SAME	CORROBORATED	public: float & __cdecl stlpmtx_std::map<class Hmx::CRC, float, struct stlpmtx_std::less<class Hmx::CRC>, class stlpmtx_std::StlNodeAlloc<struct stlpmtx_std::pair<class Hmx::CRC const, float>>>::operator[](class Hmx::CRC const &)	public: float & __cdecl stlpmtx_std::map<int, float, struct stlpmtx_std::less<int>, class stlpmtx_std::StlNodeAlloc<struct stlpmtx_std::pair<int const, float>>>::operator[](int const &)
2320	BC_DIFFERENT_UNRESOLVED	engine	default/CharMeshHide	?Handle@Synth@@UAA?AVDataNode@@PAVDataArray@@_N@Z	99.9914	DIFFERENT	REFUTED	public: class Flow * __cdecl Synth::Find<class Flow>(char const *, bool)	public: class Hmx::Object * __cdecl Synth::Find<class Hmx::Object>(char const *, bool)
1916	A_FOLD_CONSISTENT	engine	default/UI	?Init@UIManager@@UAAXXZ	99.9896	SAME	REFUTED	public: struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>> __cdecl stlpmtx_std::list<class CharClip *, class stlpmtx_std::StlNodeAlloc<class CharClip *>>::insert(struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>>, class CharClip *const &)	public: struct stlpmtx_std::_List_iterator<void (__cdecl *)(void), struct stlpmtx_std::_Nonconst_traits<void (__cdecl *)(void)>> __cdecl stlpmtx_std::list<void (__cdecl *)(void), class stlpmtx_std::StlNodeAlloc<void (__cdecl *)(void)>>::insert(struct stlpmtx_std::_List_iterator<void (__cdecl *)(void), struct stlpmtx_std::_Nonconst_traits<void (__cdecl *)(void)>>, void (__cdecl *const &)(void))
1716	A_FOLD_CONSISTENT	engine	default/BandCharacter	?AddObject@BandCharacter@@QAAXPAVObject@Hmx@@@Z	99.9883	SAME	REFUTED	private: void __cdecl ObjPtrList<class RndMesh, class ObjectDir>::Link(class ObjPtrList<class RndMesh, class ObjectDir>::iterator, struct ObjPtrList<class RndMesh, class ObjectDir>::Node *)	private: void __cdecl ObjPtrList<class CharCollide, class ObjectDir>::Link(class ObjPtrList<class CharCollide, class ObjectDir>::iterator, struct ObjPtrList<class CharCollide, class ObjectDir>::Node *)
1608	A_FOLD_CONSISTENT	game	default/band3/tour/TourDesc	?Configure@TourDesc@@UAAXPAVDataArray@@@Z	99.9876	SAME	REFUTED	public: void __cdecl stlpmtx_std::vector<class ChatReceiver *, class stlpmtx_std::StlNodeAlloc<class ChatReceiver *>>::push_back(class ChatReceiver *const &)	public: void __cdecl stlpmtx_std::vector<class TourDescEntry *, class stlpmtx_std::StlNodeAlloc<class TourDescEntry *>>::push_back(class TourDescEntry *const &)
1596	A_FOLD_CONSISTENT	engine	default/EventTrigger	?Cleanup@EventTrigger@@KA?AVDataNode@@PAVDataArray@@@Z	99.9875	SAME	REFUTED	public: struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>> __cdecl stlpmtx_std::list<class CharClip *, class stlpmtx_std::StlNodeAlloc<class CharClip *>>::insert(struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>>, class CharClip *const &)	public: struct stlpmtx_std::_List_iterator<class EventTrigger *, struct stlpmtx_std::_Nonconst_traits<class EventTrigger *>> __cdecl stlpmtx_std::list<class EventTrigger *, class stlpmtx_std::StlNodeAlloc<class EventTrigger *>>::insert(struct stlpmtx_std::_List_iterator<class EventTrigger *, struct stlpmtx_std::_Nonconst_traits<class EventTrigger *>>, class EventTrigger *const &)
1496	A_FOLD_CONSISTENT	game	default/SongSortMgr	?GetRandomSongs@SongSortMgr@@QAA_NHPAV?$vector@VSymbol@@V?$StlNodeAlloc@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@PAV?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@3@00_N2@Z	99.9866	SAME	REFUTED	int const * __cdecl stlpmtx_std::__find<int const *, int>(int const *, int const *, int const &, struct stlpmtx_std::random_access_iterator_tag const &)	int * __cdecl stlpmtx_std::__find<int *, int>(int *, int *, int const &, struct stlpmtx_std::random_access_iterator_tag const &)
1472	A_FOLD_CONSISTENT	engine	default/system/obj/Utl	?CopyTypeProperties@@YAXPAVObject@Hmx@@0@Z	99.9457	SAME	CORROBORATED	void __cdecl stlpmtx_std::_S_sort<unsigned int, class stlpmtx_std::StlNodeAlloc<unsigned int>, struct stlpmtx_std::less<unsigned int>>(class stlpmtx_std::list<unsigned int, class stlpmtx_std::StlNodeAlloc<unsigned int>> &, struct stlpmtx_std::less<unsigned int>)	void __cdecl stlpmtx_std::_S_sort<class Symbol, class stlpmtx_std::StlNodeAlloc<class Symbol>, struct stlpmtx_std::less<class Symbol>>(class stlpmtx_std::list<class Symbol, class stlpmtx_std::StlNodeAlloc<class Symbol>> &, struct stlpmtx_std::less<class Symbol>)
1400	BC_DIFFERENT_UNRESOLVED	engine	default/Text	?Load@RndText@@UAAXAAVBinStream@@@Z	99.9857	DIFFERENT	REFUTED	public: virtual __cdecl ObjPtrList<class CharInterest, class ObjectDir>::~ObjPtrList<class CharInterest, class ObjectDir>(void)	public: virtual __cdecl ObjPtrList<class Hmx::Object, class ObjectDir>::~ObjPtrList<class Hmx::Object, class ObjectDir>(void)
1336	UNDECIDABLE	engine	default/Geo	?CheckBSPTree@@YA_NPBVBSPNode@@ABVBox@@@Z	99.9102	UNKNOWN	REFUTED	public: void __cdecl stlpmtx_std::vector<class Stats::StreakInfo, class stlpmtx_std::StlNodeAlloc<class Stats::StreakInfo>>::resize(unsigned int, class Stats::StreakInfo const &)	public: void __cdecl stlpmtx_std::vector<class Vector2, class stlpmtx_std::StlNodeAlloc<class Vector2>>::resize(unsigned int, class Vector2 const &)
