tier,symbol,unit,size,fuzzy,mpn,div_class,confidence,bytes_identical,why
TIER1_STRONG,??0SoundTouch@soundtouch@@QAA@XZ,default/SoundTouch,132,100.00,100.00,error,stable_divergent,0,"one side errors, the other does not"
TIER1_STRONG,?Handle@CharWeightable@@$4PPPPPPPM@A@AA?AVDataNode@@PAVDataArray@@_N@Z,default/CharWeightable,12,95.00,100.00,error,stable_divergent,0,our side errors: 
TIER1_STRONG,?Handle@MultiSelectListPanel@@$4PPPPPPPM@A@AA?AVDataNode@@PAVDataArray@@_N@Z,default/band3/meta_band/MultiSelectListPanel,12,95.00,100.00,error,stable_divergent,0,our side errors: 
TIER1_STRONG,??1AppMiniLeaderboardDisplay@@UAA@XZ,default/band3/meta_band/AppMiniLeaderboardDisplay,284,99.93,100.00,call_count,input_sensitive,0,differing NUMBER of calls
TIER1_STRONG,?finalize@MD5@Quazal@@QAAXXZ,default/network/Plugins/Checksum/MD5/MD5,228,100.00,100.00,call_count,input_sensitive,0,differing NUMBER of calls
TIER2_CANDIDATE,?InterpTangent@@YAXABVVector3@@000MAAV1@@Z,default/Color,280,99.57,100.00,return_value,stable_divergent,0,return value differs
TIER2_CANDIDATE,??0InvExpInterpolator@@QAA@MMMMM@Z,default/Interp,92,100.00,100.00,object_memory,stable_divergent,0,2 object word(s) differ within region
TIER2_CANDIDATE,?getKeyImpl@@YAXPAEPAD0@Z,default/keygen_xbox,68,100.00,100.00,call_arg,stable_divergent,0,arg r6 differs within scalar: 0x8 vs 0x0
TIER3_SUSPECT,?Handle@SaveLoadManager@@UAA?AVDataNode@@PAVDataArray@@_N@Z,default/band3/meta_band/SaveLoadManager,2576,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?Handle@TrainingMgr@@UAA?AVDataNode@@PAVDataArray@@_N@Z,default/band3/meta_band/TrainingMgr,2044,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?LocalizeOrdinal@@YAPBDHW4LocaleGender@@W4LocaleNumber@@_N@Z,default/LocaleOrdinal,1744,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?Handle@UIScreen@@UAA?AVDataNode@@PAVDataArray@@_N@Z,default/UIScreen,1452,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?Handle@PracticeSectionProvider@@UAA?AVDataNode@@PAVDataArray@@_N@Z,default/band3/game/PracticeSectionProvider,912,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?Handle@TokenRedemptionPanel@@UAA?AVDataNode@@PAVDataArray@@_N@Z,default/band3/meta_band/TokenRedemptionPanel,832,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?Format@DateTime@@QBAXAAVString@@@Z,default/DateTime,784,99.87,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?Handle@CampaignSongInfoPanel@@UAA?AVDataNode@@PAVDataArray@@_N@Z,default/CampaignSongInfoPanel,772,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,??0PlayerParams@@QAA@XZ,default/band3/game/Player,720,100.00,100.00,call_arg,stable_divergent,1,BYTE-IDENTICAL body; divergence is reloc-target mocking only -- arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?Copy@RndPostProc@@UAAXPBVObject@Hmx@@W4CopyType@23@@Z,default/PostProc,664,100.00,100.00,call_arg,stable_divergent,1,BYTE-IDENTICAL body; divergence is reloc-target mocking only -- arg r5 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?Handle@ModifierMgr@@UAA?AVDataNode@@PAVDataArray@@_N@Z,default/band3/meta_band/ModifierMgr,660,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?Handle@SynthSample@@UAA?AVDataNode@@PAVDataArray@@_N@Z,default/system/synth/SynthSample,652,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?Handle@LightPresetManager@@UAA?AVDataNode@@PAVDataArray@@_N@Z,default/LightPresetManager,648,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?InitShaderOptions@@YAXXZ,default/ShaderOptions,644,100.00,100.00,call_arg,stable_divergent,1,BYTE-IDENTICAL body; divergence is reloc-target mocking only -- arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?NewSongNode@SongSortByArtist@@UBAPAVStoreSongSortNode@@PAVStoreOffer@@@Z,default/SongSortByArtist,640,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?Reskin@BandHeadShaper@@QAAXXZ,default/system/bandobj/BandHeadShaper,612,100.00,100.00,call_arg,stable_divergent,0,arg r5 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?Update@ScrollbarDisplay@@UAAXXZ,default/ScrollbarDisplay,560,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?SetParameters@CompressionEffect@@QAAXABUParams@1@@Z,default/CompressionEffect,488,100.00,100.00,object_memory,stable_divergent,1,BYTE-IDENTICAL body; divergence is reloc-target mocking only -- 4 object word(s) differ within region
TIER3_SUSPECT,?ReEvaluateState@SigninScreen@@QAAXXZ,default/band3/meta_band/SigninScreen,484,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?Poll@UIListState@@QAAXM@Z,default/UIListState,468,100.00,100.00,object_memory,stable_divergent,1,"BYTE-IDENTICAL body; divergence is reloc-target mocking only -- 1 object word(s), all cross-region"
TIER3_SUSPECT,?Handle@RndTexBlendController@@UAA?AVDataNode@@PAVDataArray@@_N@Z,default/TexBlendController,460,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?RecentTypeToOrigin@RecentCmp@@SA?AVSymbol@@W4RecentType@1@@Z,default/SongSortByRecent,420,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?SyncLimits@CharLookAt@@IAAXXZ,default/CharLookAt,408,100.00,100.00,object_memory,stable_divergent,1,"BYTE-IDENTICAL body; divergence is reloc-target mocking only -- 1 object word(s), all cross-region"
TIER3_SUSPECT,?GetPrefabPortraitPath@@YAPBDPAVPrefabChar@@@Z,default/CharData,400,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?Handle@RndAnimFilter@@UAA?AVDataNode@@PAVDataArray@@_N@Z,default/AnimFilter,392,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?Handle@SessionUsersProvider@@UAA?AVDataNode@@PAVDataArray@@_N@Z,default/SessionUsersProviders,380,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?Configure@CampaignLevel@@UAAXPAVDataArray@@@Z,default/CampaignLevel,380,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?OnMsg@UGCPurchasePanel@@QAA?AVDataNode@@ABVSigninChangedMsg@@@Z,default/band3/meta_band/UGCPurchasePanel,372,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?Init@TrainerProgressMeter@@QAAXPAVRndDir@@H@Z,default/band3/game/TrainerProgressMeter,368,100.00,100.00,call_arg,stable_divergent,1,BYTE-IDENTICAL body; divergence is reloc-target mocking only -- arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?SendEndStreak@Tracker@@QAAXPAVPlayer@@MH@Z,default/band3/game/Tracker,368,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,??0DxParticleSys@@IAA@XZ,default/system/rnddx9/CubeTex,364,100.00,100.00,object_memory,stable_divergent,0,"5 object word(s), all cross-region"
TIER3_SUSPECT,?Handle@RndSet@@UAA?AVDataNode@@PAVDataArray@@_N@Z,default/Set,360,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
TIER3_SUSPECT,?Init@TourGameRules@@UAAXPBVDataArray@@@Z,default/band3/tour/TourGameRules,344,100.00,100.00,call_arg,stable_divergent,0,arg r4 crosses mock regions (rdata->globals)
