unit,symbol,div_class,confidence,before_evidence,fuzzy,mpn,size,byte_identical,screen
default/ADSR,??0ADSRImpl@@QAA@XZ,object_memory,stable_divergent,divergent,58.82,58.82,68,0,SURVIVES_BOTH_SCREENS
default/Accomplishment,??0Accomplishment@@QAA@PAVDataArray@@H@Z,call_count,stable_divergent,divergent,100.00,100.00,360,0,SURVIVES_BOTH_SCREENS
default/Accomplishment,?_M_Start@?$_String_base@DV?$allocator@D@stlpmtx_std@@@stlpmtx_std@@IBAPBDXZ,return_value,stable_divergent,divergent,22.17,23.00,24,0,SURVIVES_BOTH_SCREENS
default/Accomplishment,?push_back@?$ObjPtrList@VRndGroup@@VObjectDir@@@@QAAXPAVRndGroup@@@Z,call_count,stable_divergent,divergent,0.00,0.88,68,0,SURVIVES_BOTH_SCREENS
default/AccomplishmentCategory,??0AccomplishmentCategory@@QAA@PBVDataArray@@H@Z,call_count,stable_divergent,divergent,100.00,100.00,104,1,BYTE_IDENTICAL_ARTIFACT
default/AccomplishmentCategory,?Configure@AccomplishmentCategory@@QAAXPBVDataArray@@@Z,call_count,stable_divergent,divergent,38.57,40.17,188,0,SURVIVES_BOTH_SCREENS
default/AccomplishmentPanel,?GetAccomplishmentName@AccomplishmentPanel@@QAA?AVSymbol@@XZ,call_count,stable_divergent,divergent,47.09,47.88,128,0,SURVIVES_BOTH_SCREENS
default/AllocInfo,?Validate@AllocInfo@@QBAXXZ,call_count,stable_divergent,divergent,40.00,40.00,4,0,SURVIVES_BOTH_SCREENS
default/AmbientOcclusion,?CalculateAOAtPoint@RndAmbientOcclusion@@IBAXABVVector3@@0PAM@Z,wild_jump_match,stable_divergent,divergent,74.20,76.17,608,0,SURVIVES_BOTH_SCREENS
default/AmbientOcclusion,?FindSplit_Mean@kdTreeNode@?$kdTree@VTriangle@@@@QAA_NABVBox@@ABV?$list@PAVTriangle@@V?$StlNodeAlloc@PAVTriangle@@@stlpmtx_std@@@stlpmtx_std@@@Z,object_memory,stable_divergent,divergent,18.92,21.00,500,0,SURVIVES_BOTH_SCREENS
