verdict	delta	rep	size	fuzzy	mpn	labels	addr	blockdist	unit	sym	why
REAL_FIXED	-8	2	792	99.99	99.9899	OTHER_ptr	0x8238b7f0	0	default/CharLipSyncDriver	?Poll@CharLipSyncDriver@@UAAXXZ	FIXED: PlayBack::mLipSync is a raw CharLipSync*, not ObjPtr; 792 B crossed
REAL_FIXED	1	2	108	99.926	99.92593	-	None	None	default/band3/meta_band/ViewSetting	?InitData@ViewSetting@@UAAXPAVRndDir@@@Z	FIXED: Find<RndMat> takes default fail=true, not explicit false; 108 B crossed
CODEGEN_STACK	-16	4	980	99.984	99.98367	STACK_frameptr	0x823993b0	0	default/CharIKHand	?Load@CharIKHand@@UAAXAAVBinStream@@@Z	differing immediate is stack-relative (frame pointer r31,r4) - local/temp slot placement, not layout
CODEGEN_STACK	4	6	620	99.961	99.96129	STACK_frameptr	0x82423c58	0	default/PropKeys	?SetFrame@FloatKeys@@UAAXMM@Z	differing immediate is stack-relative (frame pointer r31) - local/temp slot placement, not layout
CODEGEN_STACK	4	2	136	99.941	99.94118	STACK_r1	0x82324ec0	0	default/PlayerDiffIcon	?Save@PlayerDiffIcon@@UAAXAAVBinStream@@@Z	differing immediate is stack-relative (r1) - local/temp slot placement, not layout
MAP_ICF_FOLD_ALIAS	-16	7	404	99.931	99.930695	OTHER_ptr	0x826b8d20	0x11b7a8	default/MemTracker	?_M_insert_overflow_aux@?$vector@UMemDiffEntry@@V?$StlNodeAlloc@UMemDiffEntry@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAUMemDiffEntry@@ABU3@ABU__false_type@2@I_N@Z	retail addr 0x826b8d20 sits 0x11b7a8 outside the unit's own .text cluster - paired to another class's identically-shaped body
MAP_ICF_FOLD_ALIAS	128	3	328	99.963	99.96342	OTHER_ptr	0x824c4528	0x20b940	default/BandCamShot	?_M_insert_overflow_aux@?$vector@UDynamicPropertyEntry@Flow@@V?$StlNodeAlloc@UDynamicPropertyEntry@Flow@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAUDynamicPropertyEntry@Flow@@ABU34@ABU__false_type@2@I_N@Z	retail addr 0x824c4528 sits 0x20b940 outside the unit's own .text cluster - paired to another class's identically-shaped body
MAP_ICF_FOLD_ALIAS	24	3	328	99.963	99.96342	OTHER_ptr	0x82704058	0x2ac0e8	default/SkeletonClip	?_M_insert_overflow_aux@?$vector@UMoveRating@SkeletonClip@@V?$StlNodeAlloc@UMoveRating@SkeletonClip@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAUMoveRating@SkeletonClip@@ABU34@ABU__false_type@2@I_N@Z	retail addr 0x82704058 sits 0x2ac0e8 outside the unit's own .text cluster - paired to another class's identically-shaped body
MAP_ICF_FOLD_ALIAS	-4	3	328	99.963	99.96342	OTHER_ptr	0x8255a340	0x1921a8	default/PracticeSection	?_M_insert_overflow_aux@?$vector@VPracticeStep@@V?$StlNodeAlloc@VPracticeStep@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAVPracticeStep@@ABV3@ABU__false_type@2@I_N@Z	retail addr 0x8255a340 sits 0x1921a8 outside the unit's own .text cluster - paired to another class's identically-shaped body
MAP_ICF_FOLD_ALIAS	-228	3	328	99.963	99.96342	OTHER_ptr	0x822beb88	0x1feb38	default/CameraShot	?_M_insert_overflow_aux@?$vector@VCamShotFrame@@V?$StlNodeAlloc@VCamShotFrame@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAVCamShotFrame@@ABV3@ABU__false_type@2@I_N@Z	retail addr 0x822beb88 sits 0x1feb38 outside the unit's own .text cluster - paired to another class's identically-shaped body
