elem_type	helper	ours_sizeof	retail_implied	n_rows_for_T	ours_consistent	retail_consistent	block	unit	size
UActionElement@InlineHelp@@	_M_insert_overflow_aux	36	12	1	True	True	OUT	default/InlineHelp	328
UBeatCollisionData@@	resize	56	28	1	True	True	IN	default/SongCollision	128
UBoneOp@CharSignalApplier@@	operator<<	24	36	1	True	True	IN	default/OutfitConfig	100
UDistEntry@	__uninitialized_copy	32	16	1	True	True	IN	default/HamCamTransform	96
UDynamicPropertyEntry@Flow@@	_M_insert_overflow_aux	136	264	1	True	True	OUT	default/BandCamShot	328
UEntry@LocalePanel@@	_M_insert_overflow_aux	40	88	1	True	True	IN	default/LightPreset	328
ULocalizedName@HamMove@@	_M_insert_overflow_aux	84	24	1	True	True	IN	default/Morph	328
ULod@Character@@	resize	28	12	1	True	True	OUT	default/Character	128
UMemDiffEntry@@	_M_insert_overflow_aux	72	56	1	True	True	OUT	default/MemTracker	404
UMoveRating@SkeletonClip@	__uninitialized_copy	20	24	1	True	True	OUT	default/SkeletonClip	96
UMoveRating@SkeletonClip@@	_M_insert_overflow_aux	20	44	1	True	True	OUT	default/SkeletonClip	328
UNavItem@HamNavProvider@	__uninitialized_copy	40	96	1	True	True	IN	default/HamCamTransform	96
UNavItem@HamNavProvider@@	_M_insert_overflow_aux	40	12	3	True	False	IN	default/HamNavProvider	328
UNavItem@HamNavProvider@@	__destroy_range_aux	40	32	3	True	False	OUT	default/HamCamTransform	96
UNavItem@HamNavProvider@@	operator<<	40	48	3	True	False	OUT	default/HamNavProvider	100
URecurseInfo@	__uninitialized_copy	24	16	1	True	True	IN	default/HolmesClient	96
UVocalEvent@MidiParser@@	_Copy_Construct	8	12	1	True	True	OUT	default/CharCollide	60
V?$Key@VTransform@@@@	resize	68	24	1	True	True	IN	default/HamRibbon	128
V?$set@PBVMoveParent@@U?$less@PBVMoveParent@@	__destroy_range_aux	24	16	1	True	True	OUT	default/OriginalChoreoRemixer	96
V?$set@PBVMoveParent@@U?$less@PBVMoveParent@@@stlpmtx_std@@	_M_insert_overflow_aux	24	28	1	True	True	IN	default/OriginalChoreoRemixer	336
VArchiveSkeleton@@	_M_insert_overflow_aux	416	28	1	True	True	IN	default/RhythmBattle	324
VCamShotFrame@@	_M_insert_overflow_aux	264	36	1	True	True	OUT	default/CameraShot	328
VColor@Hmx@@	__uninitialized_copy	16	8	1	True	True	OUT	default/MeshAnim	96
VCtrlPoint@RndSpline@@	_M_erase	88	36	1	True	True	OUT	default/Spline	112
VDrivenPropertyEntry@@	_M_insert_overflow_aux	24	12	1	True	True	IN	default/FlowNode	328
VFlowMathOp@@	??1?$vector	52	40	3	True	False	IN	default/DepthBuffer3D	136
VFlowMathOp@@	_M_insert_overflow_aux	52	12	3	True	False	IN	default/DrivenPropertyEntry	328
VFlowMathOp@@	resize	52	12	3	True	False	IN	default/DrivenPropertyEntry	128
VPracticeStep@	__uninitialized_copy	28	16	1	True	True	OUT	default/PracticeSection	96
VPracticeStep@@	_M_insert_overflow_aux	28	24	1	True	True	OUT	default/PracticeSection	328
VSongPattern@@	resize	24	48	1	True	True	OUT	default/SongLayout	128
VStrand@CharHair@@	_M_erase	136	84	2	True	True	OUT	default/CharHair	100
VStrand@CharHair@@	resize	136	84	2	True	True	OUT	default/CharHair	128
VTrackData@SongDB@	__uninitialized_copy	100	52	1	True	True	IN	default/SongDB	96
VVector3@@	__destroy_range_aux	16	12	1	True	True	OUT	default/MeshAnim	100
VWaveFileMarker@	__uninitialized_copy	20	24	1	True	True	OUT	default/WaveFile	96
