prize	tgt_size	funclet_bytes	funclets	fuzzy	mpn	tgt_frame	base_frame	delta	direction	verdict	hard	name	reg	imm	unit	symbol
8068	8068	0	0	70.524	72.235	0x190	0x100	144	RETAIL_BIGGER	UNTRIAGED					default/DataFunc	?DataInitFuncs@@YAXXZ
3852	3452	400	10	88.191	88.968	0x250	0x260	-16	OURS_BIGGER	NAME-BLOCKED	100	3	100	78	default/Mesh	?Load@RndMesh@@UAAXAAVBinStream@@@Z
3548	3388	160	4	93.826	94.623	0x1d0	0x1c0	16	RETAIL_BIGGER	NAME-BLOCKED	50	10	109	6	default/VocalPlayer	?Poll@VocalPlayer@@UAAXMABVSongPos@@@Z
3372	3092	280	7	84.713	86.485	0x210	0x230	-32	OURS_BIGGER	NAME-BLOCKED	133	5	214	55	default/system/obj/Dir	?PreLoad@ObjectDir@@UAAXAAVBinStream@@@Z
3320	3320	0	0	94.176	95.055	0x3d0	0x370	96	RETAIL_BIGGER	COLLECTABLE	43	0	113	56	default/TexRenderer	?DrawToTexture@RndTexRenderer@@QAAXXZ
2880	2880	0	0	94.026	95.36	0x280	0x270	16	RETAIL_BIGGER	NAME-BLOCKED	34	2	79	15	default/FileMerger	?IKElbow@CharIKHand@@IAAXPAVRndTransformable@@0@Z
2584	2584	0	0	35.361	36.715	0xc0	0xb0	16	RETAIL_BIGGER	UNTRIAGED					default/Accomplishment	?Configure@Accomplishment@@QAAXPAVDataArray@@@Z
2516	2436	80	2	95.585	96.011	0x220	0x230	-16	OURS_BIGGER	COLLECTABLE	25	0	30	38	default/Part	?Load@RndParticleSys@@UAAXAAVBinStream@@@Z
2492	2492	0	0	57.958	61.096	0x110	0x140	-48	OURS_BIGGER	UNTRIAGED					default/Part	?InitParticle@RndParticleSys@@IAAXMPAVRndParticle@@PBVTransform@@AAVPartOverride@@@Z
2192	2072	120	3	86.981	88.38	0x260	0x230	48	RETAIL_BIGGER	NAME-BLOCKED	61	1	97	57	default/Crowd	?DrawShowing@WorldCrowd@@UAAXXZ
2188	2188	0	0	90.45	91.592	0x110	0x130	-32	OURS_BIGGER	NAME-BLOCKED	49	5	76	10	default/VocalTrack	?RebuildHUD@VocalTrack@@QAAXXZ
2104	2104	0	0	32.73	35.268	0x220	0x1a0	128	RETAIL_BIGGER	UNTRIAGED					default/SpotlightDrawer_NG	?SetupXSection@NgSpotlightDrawer@@IAAXPAVSpotlight@@ABUBeamDef@2@@Z
2020	1980	40	1	86.804	88.895	0x1c0	0x1d0	-16	OURS_BIGGER	NAME-BLOCKED	57	2	139	26	default/system/rndobj/Utl	?ResetNormals@@YAXPAVRndMesh@@@Z
1936	1936	0	0	15.579	17.428	0xf0	0xe0	16	RETAIL_BIGGER	UNTRIAGED					default/Shader	?CalcShaderOpts@RndShaderMultimesh@@MAA_KPAVNgMat@@W4ShaderType@@_N@Z
1900	1620	280	7	85.694	86.756	0x140	0x170	-48	OURS_BIGGER	NAME-BLOCKED	58	9	57	38	default/Synapse_dsp	??0Synapse@0DSP@@QAA@M@Z
1876	1836	40	1	83.675	85.386	0x1b0	0x1c0	-16	OURS_BIGGER	NAME-BLOCKED	71	9	118	17	default/VocalNoteList	?NotesDone@VocalNoteList@@QAAXABVTempoMap@@_N@Z
1812	1692	120	3	89.012	90.123	0x190	0x1a0	-16	OURS_BIGGER	NAME-BLOCKED	46	1	69	20	default/BandWardrobe	?OnEnterVignette@BandWardrobe@@QAA?AVDataNode@@PAVDataArray@@@Z
1688	1688	0	0	98.102	98.114	0x120	0x110	16	RETAIL_BIGGER	COLLECTABLE	8	0	1	35	default/BandDirector	?Enter@BandDirector@@UAAXXZ
1684	1684	0	0	66.829	69.964	0x110	0x140	-48	OURS_BIGGER	UNTRIAGED					default/CharEyes	?NextLook@CharEyes@@IAAXXZ
1644	1644	0	0	73.861	79.993	0xd0	0xb0	32	RETAIL_BIGGER	UNTRIAGED					default/CharBones	?RotateTo@CharBones@@QBAXAAV1@M@Z
1644	980	664	16	45.045	46.106	0xf0	0x140	-80	OURS_BIGGER	UNTRIAGED					default/band3/meta_band/BandStorePanel	?Poll@BandStorePanel@@UAAXXZ
1532	1280	252	6	84.963	86.025	0xc0	0xe0	-32	OURS_BIGGER	NAME-BLOCKED	50	3	54	44	default/Part	??0RndParticleSys@@IAA@XZ
1480	1440	40	1	60.383	62.369	0x110	0x120	-16	OURS_BIGGER	UNTRIAGED					default/Character	?PostLoad@Character@@UAAXAAVBinStream@@@Z
1428	1348	80	2	89.306	89.795	0x220	0x210	16	RETAIL_BIGGER	COLLECTABLE	38	0	23	37	default/Leaderboard	?ShowData@Leaderboard@@QAAXXZ
1420	1420	0	0	86.065	91.91	0xc0	0xb0	16	RETAIL_BIGGER	NAME-BLOCKED	30	2	216	5	default/CharBones	?RotateBy@CharBones@@QBAXAAV1@@Z
1396	1396	0	0	99.289	99.304	0xf0	0x100	-16	OURS_BIGGER	NAME-BLOCKED	2	1	0	43	default/OvershellSlot	?OnMsg@OvershellSlot@@QAA?AVDataNode@@ABVButtonDownMsg@@@Z
1352	1192	160	4	79.587	79.604	0xd0	0xe0	-16	OURS_BIGGER	UNTRIAGED					default/StorePanel	?Handle@StorePanel@@UAA?AVDataNode@@PAVDataArray@@_N@Z
1348	1348	0	0	4.786	5.172	0x8f0	0x80	2160	RETAIL_BIGGER	UNTRIAGED					default/FlowNode	??$__uninitialized_fill_n@PAVDrivenPropertyEntry@@IV1@@stlpmtx_std@@YAPAVDrivenPropertyEntry@@PAV1@IABV1@ABU__false_type@0@@Z
1344	1104	240	6	99.772	99.953	0xe0	0x120	-64	OURS_BIGGER	NAME-BLOCKED	0	10	0	13	default/BandCrowdMeter	?SyncObjects@BandCrowdMeter@@UAAXXZ
1340	1340	0	0	93.11	93.946	0x1b0	0x1e0	-48	OURS_BIGGER	COLLECTABLE	21	0	39	20	default/Spotlight	?UpdateTransforms@Spotlight@@IAAXXZ
1324	1324	0	0	66.32	68.36	0x1d0	0x1b0	32	RETAIL_BIGGER	UNTRIAGED					default/SpotlightDrawer_NG	?RenderConeDefs@NgSpotlightDrawer@@IAAXPAVSpotlight@@ABVColor@Hmx@@@Z
1312	1312	0	0	32.659	34.229	0xc0	0xd0	-16	OURS_BIGGER	UNTRIAGED					default/Rnd_Xbox	?InitBuffers@DxRnd@@AAAXXZ
1292	1292	0	0	68.248	69.981	0xa0	0x90	16	RETAIL_BIGGER	UNTRIAGED					default/MusicLibrary	?Text@MusicLibrary@@UBAXHHPAVUIListLabel@@PAVUILabel@@@Z
1260	892	368	8	85.942	87.018	0x130	0x120	16	RETAIL_BIGGER	NAME-BLOCKED	32	5	32	5	default/File	?RecursePatternInternal@@YAXPBDP6AX00@Z_N2@Z
1236	1236	0	0	50.032	54.272	0x100	0x120	-32	OURS_BIGGER	UNTRIAGED					default/Lit_NG	?SphereConeTest@NgLight@@IAA_NABVVector3@@M@Z
1232	1192	40	1	94.671	96.903	0x150	0x120	48	RETAIL_BIGGER	NAME-BLOCKED	10	2	108	3	default/Mesh	?OnSync@RndMesh@@MAAXH@Z
1200	1200	0	0	55.08	57.93	0x1d0	0x1b0	32	RETAIL_BIGGER	UNTRIAGED					default/FFT	?fft_matrix_forward_columnwise@@YAHPAMJ0@Z
1192	1192	0	0	95.074	95.493	0xe0	0xf0	-16	OURS_BIGGER	NAME-BLOCKED	15	2	22	2	default/OutfitConfig	?SetSkinTextures@OutfitConfig@@SAXPAVObjectDir@@0PAVBandCharDesc@@@Z
1168	1168	0	0	8.908	9.216	0x100	0xa0	96	RETAIL_BIGGER	UNTRIAGED					default/BandLabel	?PreLoad@BandLabel@@UAAXAAVBinStream@@@Z
1164	1164	0	0	6.725	8.701	0x100	0x170	-112	OURS_BIGGER	UNTRIAGED					default/VocalTrackDir	?ApplyFontStyle@VocalTrackDir@@QAAXPAVObject@Hmx@@@Z
1160	1160	0	0	73.386	75.852	0x170	0x9d0	-2144	OURS_BIGGER	UNTRIAGED					default/VocalTrack	?PrepareNoteTubes@VocalTrack@@QAAXMHAAHH@Z
1160	1160	0	0	84.131	85.855	0x190	0x1a0	-16	OURS_BIGGER	COLLECTABLE	43	0	32	2	default/FFT	?fft_matrix_inverse_columnwise@@YAHPAMJ0@Z
1160	1160	0	0	5.593	5.972	0x140	0x80	192	RETAIL_BIGGER	UNTRIAGED					default/MatAnim	??$_M_allocate_and_copy@PBV?$Key@VColor@Hmx@@@@@?$vector@V?$Key@VColor@Hmx@@@@V?$StlNodeAlloc@V?$Key@VColor@Hmx@@@@@stlpmtx_std@@@stlpmtx_std@@IAAPAV?$Key@VColor@Hmx@@@@IPBV2@0@Z
1156	1156	0	0	32.073	35.498	0xe0	0xf0	-16	OURS_BIGGER	UNTRIAGED					default/PropSync	?PropSync@@YA_NAAVMatrix3@Hmx@@AAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
1148	1148	0	0	95.564	95.913	0xc0	0xd0	-16	OURS_BIGGER	NAME-BLOCKED	12	2	8	53	default/CameraShot	?Shake@CamShot@@IAAXMMABVVector2@@AAVVector3@@1@Z
1144	1104	40	1	87.692	87.891	0xc0	0xd0	-16	OURS_BIGGER	COLLECTABLE	34	0	9	20	default/band3/meta_band/UGCPurchasePanel	?Poll@UGCPurchasePanel@@UAAXXZ
1124	1124	0	0	98.527	98.918	0x130	0x120	16	RETAIL_BIGGER	COLLECTABLE	3	0	21	2	default/Flare	?DrawShowing@RndFlare@@UAAXXZ
1116	1116	0	0	78.136	78.53	0xb0	0xa0	16	RETAIL_BIGGER	UNTRIAGED					default/system/bandobj/BandTrack	?Reset@BandTrack@@UAAXXZ
